F.I.Sh,ijtimoiy holati,ijtimoiy qatlami,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,davomat
yejmg,yolg'iz,3,4,2,3,3,3,8
wxmrx,oliali,2,3,4,2,4,3,37
epagj,yolg'iz,2,3,3,4,2,4,61
kcxma,ijtimoiy ximoyaga muhtoj oila restor,4,4,4,3,2,4,31
mjbae,chin yetim,3,3,2,2,4,4,4
xjvlm,temir daftar,3,2,2,3,4,2,7
dhzpv,yolg'iz,3,2,2,3,2,4,62
jvext,oliali,3,3,2,4,3,3,38
cneig,boquvchisini yo'qotgan,2,3,2,4,2,2,54
ffnui,ijtimoiy ximoyaga muhtoj oila restor,4,2,2,3,2,2,93
xprnz,oliali,2,4,4,3,2,3,42
inulk,oliali,4,4,4,2,2,2,63
nahgq,chin yetim,3,4,2,3,2,3,21
thxvo,ijtimoiy ximoyaga muhtoj oila restor,3,4,4,2,2,4,27
koehi,temir daftar,2,3,4,4,4,2,66
fpfdz,temir daftar,2,4,2,4,4,3,46
jztrp,yolg'iz,3,3,4,3,2,4,58
mocjl,oliali,4,4,4,3,3,4,18
tpbho,chin yetim,4,4,4,4,3,4,11
gcuer,chin yetim,2,4,4,3,2,3,35
vmjom,yolg'iz,2,2,4,3,3,4,71
etwqz,ijtimoiy ximoyaga muhtoj oila restor,3,4,4,2,2,4,2
hbwrd,ijtimoiy ximoyaga muhtoj oila restor,2,4,3,2,2,4,68
mjjek,chin yetim,3,2,2,4,3,4,85
jwwrv,temir daftar,2,3,4,3,4,2,60
nirtx,yolg'iz,4,2,2,4,3,2,52
kggmn,yoshlar daftari,4,3,3,3,4,4,59
grtaq,yoshlar daftari,3,4,3,3,3,2,60
xywso,boquvchisini yo'qotgan,3,3,2,4,3,4,10
pawcn,temir daftar,4,3,2,4,3,4,13
eckvq,temir daftar,2,4,2,3,4,2,41
uapfr,temir daftar,4,4,4,4,2,4,53
mwhnp,yolg'iz,3,4,3,4,3,4,14
tznxv,yolg'iz,4,4,2,3,3,3,59
kknow,oliali,3,2,2,2,3,3,99
vixxa,oliali,3,4,2,2,4,2,81
iflzy,boquvchisini yo'qotgan,2,3,4,2,3,4,85
mxjke,chin yetim,4,2,3,2,4,4,0
fqzrp,oliali,4,3,3,3,3,3,25
wzsti,ijtimoiy ximoyaga muhtoj oila restor,3,2,3,3,2,4,89
xohes,boquvchisini yo'qotgan,4,4,4,3,3,2,66
ukuwx,chin yetim,4,3,2,3,3,4,48
sqxrw,ijtimoiy ximoyaga muhtoj oila restor,3,3,4,4,3,4,51
jwjcw,yolg'iz,3,4,3,2,4,2,54
fddeg,chin yetim,3,3,4,4,2,2,81
uqlgp,chin yetim,4,4,4,3,2,3,97
mskdr,yoshlar daftari,4,3,2,4,4,2,92
wlnpt,temir daftar,2,3,4,2,4,3,11
bzhwb,yoshlar daftari,2,2,4,4,2,2,62
paril,boquvchisini yo'qotgan,4,3,4,4,3,3,22
wojrz,ijtimoiy ximoyaga muhtoj oila restor,4,2,2,3,4,4,15
ineul,yoshlar daftari,4,3,3,4,3,4,18
ehokh,yoshlar daftari,3,2,2,2,3,2,12
afxgi,yolg'iz,2,2,4,3,2,4,76
dfwou,yolg'iz,4,2,4,2,3,2,48
gzkst,oliali,4,2,3,4,4,2,10
hjbfy,chin yetim,2,4,4,3,2,3,2
hzmgk,yoshlar daftari,4,2,4,4,4,3,41
pwhkr,yolg'iz,3,4,2,3,4,4,15
xehxh,boquvchisini yo'qotgan,4,4,3,3,4,3,31
rieqg,temir daftar,3,2,4,2,3,3,63
cwjqu,yoshlar daftari,4,3,3,3,4,4,30
jozwf,ijtimoiy ximoyaga muhtoj oila restor,3,3,3,2,3,4,80
jyztf,ijtimoiy ximoyaga muhtoj oila restor,3,3,4,2,3,4,28
hfqsz,chin yetim,3,3,3,4,3,4,29
sblwu,yolg'iz,3,4,2,3,4,3,99
klmac,yoshlar daftari,4,4,4,2,2,3,22
szuwy,boquvchisini yo'qotgan,4,3,2,3,2,2,94
tfebf,yolg'iz,3,4,4,4,2,3,19
xpupg,ijtimoiy ximoyaga muhtoj oila restor,4,2,4,2,3,2,19
cshcn,boquvchisini yo'qotgan,2,3,3,3,2,3,64
uxdfe,yoshlar daftari,2,4,4,3,2,3,15
vyybm,temir daftar,2,4,4,3,4,4,24
cseav,yolg'iz,3,3,4,4,3,2,95
vzreh,yoshlar daftari,3,3,3,3,2,4,36
ilskb,ijtimoiy ximoyaga muhtoj oila restor,2,3,3,2,2,4,52
prbll,ijtimoiy ximoyaga muhtoj oila restor,2,2,2,3,3,3,33
zinev,chin yetim,4,4,4,3,2,4,72
kkzlt,yoshlar daftari,4,2,2,3,2,4,31
spjdg,yoshlar daftari,4,3,3,2,3,4,13
knwon,ijtimoiy ximoyaga muhtoj oila restor,3,3,3,3,2,2,3
bqeqy,yolg'iz,2,4,4,3,4,3,61
cphkq,chin yetim,3,3,4,4,3,2,19
uafsr,yoshlar daftari,2,3,3,2,2,4,17
xscdj,temir daftar,2,3,2,2,4,4,98
douta,oliali,2,4,2,4,3,3,20
ahveq,chin yetim,3,2,3,4,2,2,45
iusmh,temir daftar,3,4,3,2,2,2,98
nouop,boquvchisini yo'qotgan,3,3,2,4,3,4,85
bxzlu,yoshlar daftari,4,3,4,2,4,3,49
jwalg,yolg'iz,4,2,4,3,4,4,31
nnoud,yoshlar daftari,2,2,2,3,2,2,3
yeeah,temir daftar,3,2,3,2,4,3,36
vipla,oliali,2,2,2,3,4,2,25
jmuel,chin yetim,2,2,3,2,4,3,79
kxfrv,boquvchisini yo'qotgan,2,4,4,4,2,2,34
cjelv,yoshlar daftari,2,4,4,4,3,4,15
cqglo,boquvchisini yo'qotgan,2,3,3,4,3,4,16
kaewn,temir daftar,4,2,4,4,4,2,8
tshmn,ijtimoiy ximoyaga muhtoj oila restor,2,2,3,4,4,2,78
jmxku,chin yetim,3,2,4,4,2,4,52
kcgsm,chin yetim,3,4,4,3,2,2,63
ofyoe,chin yetim,4,2,3,2,4,2,27
jbwww,boquvchisini yo'qotgan,3,3,4,3,4,2,85
uxtek,yoshlar daftari,2,3,3,2,2,2,29
znbzk,chin yetim,3,4,3,2,2,2,73
ijeeq,yolg'iz,2,2,4,4,3,4,57
tvjfp,temir daftar,2,2,4,3,4,2,19
lhrdb,yoshlar daftari,4,4,2,4,3,4,65
akbhn,temir daftar,3,2,4,4,4,3,5
mjxmh,yoshlar daftari,3,4,2,2,4,4,55
bnqrh,oliali,3,4,2,3,3,4,54
euopw,boquvchisini yo'qotgan,3,4,4,2,3,3,99
paqhj,ijtimoiy ximoyaga muhtoj oila restor,3,3,2,2,3,3,40
vsstk,chin yetim,2,3,3,3,3,4,2
slmvt,temir daftar,2,2,2,4,4,4,99
ovrsx,yolg'iz,2,3,3,4,2,2,93
mdeyx,temir daftar,2,4,4,3,4,2,92
dtdzy,boquvchisini yo'qotgan,2,4,4,3,4,2,59
mcinx,boquvchisini yo'qotgan,3,3,2,2,2,3,42
dhcdh,oliali,4,3,3,3,4,3,34
jgdqj,ijtimoiy ximoyaga muhtoj oila restor,4,4,4,2,2,2,62
faxmt,temir daftar,3,3,2,3,4,3,71
jmgmk,yolg'iz,3,2,3,3,4,3,33
gztoa,oliali,3,3,4,3,2,3,68
uyjgu,yoshlar daftari,4,2,4,4,2,4,33
vlnay,ijtimoiy ximoyaga muhtoj oila restor,2,4,2,2,4,3,53
jfrvm,temir daftar,2,3,2,2,4,2,72
cencf,yoshlar daftari,4,3,2,3,2,3,80
qmrzm,ijtimoiy ximoyaga muhtoj oila restor,3,4,4,4,4,2,64
lpqco,oliali,4,4,2,3,2,3,36
qjpad,chin yetim,4,2,4,2,3,2,60
pihjg,yoshlar daftari,4,3,3,2,4,4,91
abudq,temir daftar,4,3,3,3,3,4,26
fazsz,ijtimoiy ximoyaga muhtoj oila restor,3,2,2,4,4,3,88
saleh,chin yetim,3,2,3,2,3,2,86
lxlqj,boquvchisini yo'qotgan,2,4,2,4,2,4,69
dbgfa,oliali,4,3,4,4,2,3,87
rfphu,boquvchisini yo'qotgan,4,4,3,2,3,4,10
amdfl,oliali,4,3,2,2,4,3,58
tturx,ijtimoiy ximoyaga muhtoj oila restor,2,2,4,4,2,2,34
bhiqd,chin yetim,4,4,4,3,2,3,16
oesme,ijtimoiy ximoyaga muhtoj oila restor,3,2,3,4,4,3,13
tckzd,oliali,3,4,3,3,4,3,21
uayto,yolg'iz,4,3,3,4,2,2,25
ttrba,chin yetim,2,2,2,3,3,2,99
ycxoz,oliali,3,3,2,4,2,4,91
slkkt,chin yetim,4,4,4,4,2,3,97
rajit,boquvchisini yo'qotgan,3,3,4,2,4,4,62
ryerv,yoshlar daftari,4,4,4,4,2,2,49
kymyp,ijtimoiy ximoyaga muhtoj oila restor,3,3,4,2,2,2,50
besui,yolg'iz,3,2,3,4,2,3,97
ylqhc,chin yetim,2,2,2,2,2,2,45
hxypj,temir daftar,4,4,3,3,2,2,73
rsbzm,boquvchisini yo'qotgan,3,3,2,2,3,2,76
wfozp,temir daftar,4,4,2,2,4,4,98
jmdkp,chin yetim,2,4,4,4,4,2,59
kmpki,yolg'iz,2,2,4,4,4,3,20
pqqiu,chin yetim,3,2,4,3,3,2,20
eabsn,yoshlar daftari,4,3,2,4,2,3,47
hdqhq,boquvchisini yo'qotgan,4,3,2,3,3,4,2
rhnmx,oliali,3,4,2,2,4,4,36
zqbhk,boquvchisini yo'qotgan,2,2,4,4,3,2,6
dzych,yolg'iz,4,3,4,2,2,3,62
zgxyt,boquvchisini yo'qotgan,4,2,3,2,3,3,9
pjewf,ijtimoiy ximoyaga muhtoj oila restor,2,4,2,2,4,3,89
chkrq,boquvchisini yo'qotgan,3,3,4,4,2,2,25
vmnjq,yoshlar daftari,2,3,3,2,3,4,60
qykqi,yolg'iz,2,3,3,3,3,2,8
sbcrp,ijtimoiy ximoyaga muhtoj oila restor,4,3,2,4,3,4,23
bqdut,temir daftar,4,2,2,3,3,3,42
qrsqj,yolg'iz,4,2,3,3,3,4,69
cfyrg,yolg'iz,3,4,3,2,3,4,14
pfvmq,yolg'iz,3,4,4,3,4,4,41
jbtcs,ijtimoiy ximoyaga muhtoj oila restor,4,3,3,2,3,3,69
kjdfw,temir daftar,3,4,2,3,2,2,58
kcyzp,chin yetim,4,3,2,3,3,3,27
aqcqj,temir daftar,4,2,3,2,2,4,7
estec,yolg'iz,4,4,3,4,3,2,0
gpsoy,boquvchisini yo'qotgan,3,4,3,2,4,3,62
skpiu,temir daftar,3,4,3,3,2,2,54
tllng,boquvchisini yo'qotgan,4,4,3,2,2,2,51
buysx,yolg'iz,2,3,4,4,3,2,82
ssnsf,ijtimoiy ximoyaga muhtoj oila restor,4,2,3,2,3,3,73
nwnpg,temir daftar,3,3,3,4,3,2,36
qhfgk,yolg'iz,3,4,2,4,2,4,70
ugnqa,chin yetim,4,4,3,4,2,2,31
jhpfb,boquvchisini yo'qotgan,2,3,3,3,2,2,36
fnlts,yolg'iz,3,2,2,2,3,4,59
mnzpi,temir daftar,4,4,3,4,2,4,10
tjvjl,ijtimoiy ximoyaga muhtoj oila restor,3,2,4,2,2,4,76
lspmm,boquvchisini yo'qotgan,3,3,3,2,2,3,95
fzhor,temir daftar,3,2,3,2,3,2,19
vvuny,boquvchisini yo'qotgan,2,3,2,3,2,4,24
elzhs,yolg'iz,4,2,2,3,3,2,68
risxr,yoshlar daftari,3,3,4,2,2,4,27
ozvzr,yoshlar daftari,3,4,2,2,2,2,70
ddxjp,ijtimoiy ximoyaga muhtoj oila restor,4,4,2,3,2,2,86
eymcd,chin yetim,4,2,4,3,2,4,21
ajzyh,oliali,3,3,2,3,2,3,3
guoxr,yoshlar daftari,3,2,4,4,3,4,86
cpukm,yolg'iz,4,4,3,2,3,4,34
ycvnn,ijtimoiy ximoyaga muhtoj oila restor,4,3,4,3,4,2,18
qwepb,yoshlar daftari,4,3,3,4,3,4,15
sjzbb,ijtimoiy ximoyaga muhtoj oila restor,2,4,4,2,2,2,68
xtqfh,chin yetim,4,4,2,4,4,4,41
ebjel,yoshlar daftari,4,4,2,2,3,4,8
vqczb,yoshlar daftari,4,2,3,4,4,2,32
avtvo,temir daftar,2,4,2,3,2,2,18
ddtgh,ijtimoiy ximoyaga muhtoj oila restor,4,3,4,4,2,3,91
enqvk,boquvchisini yo'qotgan,3,3,3,2,4,2,37
oacft,ijtimoiy ximoyaga muhtoj oila restor,4,2,2,2,4,3,33
kbhfp,oliali,2,4,4,3,2,2,82
chrhi,oliali,4,4,3,2,2,4,71
fkxnz,ijtimoiy ximoyaga muhtoj oila restor,4,3,2,4,2,4,28
hxajz,yoshlar daftari,4,4,3,3,3,3,69
krrht,yoshlar daftari,2,4,4,3,4,3,69
sloie,ijtimoiy ximoyaga muhtoj oila restor,4,3,2,2,2,3,75
nrkmz,ijtimoiy ximoyaga muhtoj oila restor,4,4,3,3,4,2,73
buqnx,ijtimoiy ximoyaga muhtoj oila restor,3,2,3,3,2,4,0
lufwg,oliali,4,2,3,3,2,2,74
pwyyv,yolg'iz,4,4,3,4,2,4,0
ehucd,yolg'iz,2,4,3,4,4,2,95
pysuy,yolg'iz,2,2,3,3,4,2,53
dtqpj,chin yetim,4,2,4,3,2,3,79
lbqcm,yoshlar daftari,3,3,4,4,4,3,98
lmbds,boquvchisini yo'qotgan,4,3,4,3,3,2,66
cxosu,boquvchisini yo'qotgan,2,3,3,2,4,4,32
xewju,boquvchisini yo'qotgan,2,4,3,2,3,3,83
zxubi,boquvchisini yo'qotgan,2,3,2,2,3,2,15
pvduj,boquvchisini yo'qotgan,2,2,2,4,3,4,79
hsswa,yolg'iz,2,4,3,3,4,4,89
yybdi,boquvchisini yo'qotgan,2,4,3,2,2,2,57
dhmct,chin yetim,2,4,3,2,2,2,58
qtvjk,temir daftar,3,4,3,3,2,4,60
kwfto,boquvchisini yo'qotgan,3,2,4,4,4,3,54
phwoq,chin yetim,4,2,3,2,2,3,28
akyyy,chin yetim,4,3,2,3,2,4,48
hoiam,oliali,3,3,3,4,3,2,41
rytzu,chin yetim,3,3,4,4,2,2,50
qkbbe,boquvchisini yo'qotgan,3,2,3,4,2,2,47
eiluz,yoshlar daftari,2,4,2,2,2,2,24
xxcsc,temir daftar,3,4,2,2,3,2,73
uajox,temir daftar,4,3,2,2,4,4,40
edkjc,temir daftar,2,3,4,4,4,3,51
aiibu,yolg'iz,2,3,4,3,4,3,37
rhkai,yolg'iz,4,3,3,2,3,2,60
uwcfi,boquvchisini yo'qotgan,3,4,4,2,3,2,4
oyzqp,boquvchisini yo'qotgan,2,2,2,4,2,4,6
bjuuh,oliali,2,3,3,4,2,2,70
ekllf,ijtimoiy ximoyaga muhtoj oila restor,2,4,4,3,3,2,78
aftjj,oliali,3,3,3,3,2,3,76
andpn,chin yetim,3,2,3,2,4,3,37
jahim,boquvchisini yo'qotgan,2,3,2,2,3,3,9
fuiuu,temir daftar,2,4,2,3,3,2,77
qgqsc,temir daftar,4,2,3,3,4,2,63
rvjso,boquvchisini yo'qotgan,3,2,3,3,2,4,10
wdkss,yolg'iz,4,2,4,3,2,3,4
ttwwz,boquvchisini yo'qotgan,2,2,2,3,3,4,28
mhdna,yoshlar daftari,2,2,3,3,2,2,53
osqjp,oliali,2,4,3,3,3,2,78
xmyrb,ijtimoiy ximoyaga muhtoj oila restor,4,4,3,3,2,4,7
xfbzn,boquvchisini yo'qotgan,3,2,2,2,3,4,9
lelvv,oliali,3,2,2,4,4,2,12
nzgts,boquvchisini yo'qotgan,3,3,4,2,4,3,72
sdqmj,ijtimoiy ximoyaga muhtoj oila restor,3,2,2,2,2,3,45
oagbv,ijtimoiy ximoyaga muhtoj oila restor,3,3,4,2,3,3,16
fcuvz,temir daftar,3,4,3,4,2,3,98
nokmf,oliali,4,3,2,2,3,4,14
tbrtm,chin yetim,3,2,2,3,2,2,65
nurhz,oliali,2,3,2,4,4,4,56
luwvf,boquvchisini yo'qotgan,3,4,4,4,2,3,77
szcbq,boquvchisini yo'qotgan,4,3,3,2,3,4,70
gmznj,yoshlar daftari,3,2,2,4,3,2,0
tfujg,yoshlar daftari,4,4,4,4,4,4,26
czlos,ijtimoiy ximoyaga muhtoj oila restor,3,4,2,2,4,3,10
kmqtx,ijtimoiy ximoyaga muhtoj oila restor,3,3,4,4,4,2,18
kxwge,ijtimoiy ximoyaga muhtoj oila restor,2,3,4,4,2,2,87
basvy,temir daftar,4,4,4,4,2,3,28
ezgyh,ijtimoiy ximoyaga muhtoj oila restor,4,2,2,2,4,3,70
cgbvk,yoshlar daftari,3,3,3,4,4,4,22
paots,yolg'iz,2,3,4,4,3,4,12
ygbew,oliali,2,4,3,3,2,4,99
oxdul,temir daftar,4,2,2,4,2,3,97
vojxo,chin yetim,4,2,3,3,3,4,2
rlmml,yolg'iz,2,4,2,4,3,2,64
xsxnj,yolg'iz,2,4,4,2,3,4,66
zmuup,temir daftar,4,2,3,2,2,4,12
wnfdr,yoshlar daftari,3,2,2,3,4,2,52
jcnqb,temir daftar,4,4,4,3,3,4,46
zqxap,yolg'iz,3,2,4,4,4,2,25
ajepb,oliali,3,2,4,2,4,3,81
nlkvi,boquvchisini yo'qotgan,3,4,4,3,3,4,51
rpzkh,yolg'iz,3,2,4,2,2,2,92
csphl,boquvchisini yo'qotgan,4,2,3,4,3,4,97
snclz,boquvchisini yo'qotgan,3,4,3,2,3,4,76
rmrzf,temir daftar,3,3,4,4,3,3,70
ufmgd,chin yetim,2,4,2,2,4,4,2
wgplc,temir daftar,3,4,4,3,2,4,41
bceuk,oliali,2,4,4,2,3,2,90
rgbzz,chin yetim,4,3,2,2,2,3,22
hxyat,yoshlar daftari,2,4,2,3,3,2,59
pocrb,yolg'iz,3,2,4,4,3,2,45
eogwq,oliali,4,2,4,4,4,2,21
xfjxk,chin yetim,2,4,2,4,4,3,0
mdvak,yolg'iz,4,2,3,4,4,3,61
kdfzg,oliali,2,3,3,3,4,3,10
jecpi,yolg'iz,2,3,4,2,2,4,54
znxza,yolg'iz,3,3,3,3,4,2,67
bryvi,yoshlar daftari,3,3,3,4,4,2,59
xffve,yoshlar daftari,4,4,3,4,3,4,74
qvqhn,chin yetim,3,4,3,3,4,4,55
gtgww,yoshlar daftari,2,3,3,3,2,2,61
tiubw,oliali,2,4,3,4,2,4,16
ufwcu,yolg'iz,3,2,2,2,4,2,63
frita,yolg'iz,3,4,2,2,3,3,17
xmpsr,yoshlar daftari,3,4,4,3,3,3,52
wzzai,yolg'iz,3,3,4,4,3,2,89
rttpe,yolg'iz,3,4,2,3,2,2,3
pkbnv,yoshlar daftari,2,2,2,3,4,2,81
tgmem,boquvchisini yo'qotgan,2,4,4,3,3,3,46
vjfpo,oliali,4,2,4,4,3,3,62
woudj,ijtimoiy ximoyaga muhtoj oila restor,2,3,3,4,3,3,50
ilkvw,oliali,4,2,2,3,3,2,10
hqoch,temir daftar,2,4,2,2,2,3,99
lkxzx,yoshlar daftari,2,3,2,2,2,2,9
slkgz,yolg'iz,2,4,2,3,3,4,8
fjftn,chin yetim,3,4,2,2,2,4,30
nozrb,temir daftar,4,4,4,2,4,4,90
gcjck,boquvchisini yo'qotgan,2,3,3,2,4,4,6
vkmnt,oliali,3,4,2,4,3,3,82
sfnqk,ijtimoiy ximoyaga muhtoj oila restor,2,3,2,3,2,2,43
naxph,oliali,3,3,3,2,4,2,31
isefs,yolg'iz,2,2,4,4,3,3,49
knhos,ijtimoiy ximoyaga muhtoj oila restor,2,4,2,4,2,2,16
iumjg,ijtimoiy ximoyaga muhtoj oila restor,2,4,3,4,4,2,97
kkklw,ijtimoiy ximoyaga muhtoj oila restor,2,4,3,2,3,3,30
kexav,chin yetim,2,2,4,2,4,4,30
ckrbt,ijtimoiy ximoyaga muhtoj oila restor,2,2,3,3,3,4,82
ipkqc,yoshlar daftari,2,4,3,4,3,3,61
aajow,yoshlar daftari,4,2,2,2,4,2,3
hjsqa,chin yetim,3,4,4,2,4,4,56
wyeal,oliali,4,4,4,3,2,2,93
bdmiw,yolg'iz,4,4,2,4,3,2,97
siooc,chin yetim,3,4,2,3,4,3,10
bpjfh,temir daftar,2,2,4,4,3,4,20
hyouv,yolg'iz,2,4,4,4,3,4,21
nepbx,yolg'iz,2,4,4,3,3,4,27
zypkx,boquvchisini yo'qotgan,3,3,3,3,3,2,30
xjvoo,yolg'iz,4,4,4,4,4,3,57
ymnko,yolg'iz,3,4,2,3,3,2,55
prgnv,oliali,4,3,4,3,2,3,32
tjjsg,yoshlar daftari,2,2,4,2,4,4,47
vfaiw,temir daftar,3,3,4,4,4,4,19
keqzk,temir daftar,2,2,4,3,3,4,1
rrevy,yoshlar daftari,3,2,3,3,4,4,58
hgozw,yolg'iz,4,2,4,2,3,2,66
tboah,yoshlar daftari,3,4,3,2,3,4,92
tzkor,ijtimoiy ximoyaga muhtoj oila restor,4,2,2,4,3,3,73
mvsom,temir daftar,3,4,3,2,4,4,77
orgte,yoshlar daftari,4,2,3,2,3,2,56
vwgdx,boquvchisini yo'qotgan,2,3,3,3,3,2,71
ddxyv,boquvchisini yo'qotgan,4,4,2,4,3,3,62
rlzxz,yoshlar daftari,2,4,2,3,3,2,65
iihbu,yoshlar daftari,4,2,2,2,4,3,13
rqmtw,ijtimoiy ximoyaga muhtoj oila restor,4,3,2,3,2,3,73
noqcu,yoshlar daftari,2,4,4,2,2,3,25
jmyyz,yoshlar daftari,3,4,4,3,4,3,62
wwjpl,chin yetim,2,4,2,2,4,4,26
ncpwq,chin yetim,3,2,3,2,4,2,84
qaidf,temir daftar,4,4,3,2,4,2,29
thbuy,chin yetim,4,3,4,2,4,4,77
ukbnd,oliali,3,4,3,2,3,4,4
orrro,ijtimoiy ximoyaga muhtoj oila restor,4,3,2,2,4,3,14
dwsoe,boquvchisini yo'qotgan,4,4,4,3,4,2,55
zhuek,yoshlar daftari,2,2,3,2,3,2,61
fmopy,oliali,2,2,4,3,4,4,57
lbqlv,yoshlar daftari,3,4,4,2,3,2,55
ipeir,ijtimoiy ximoyaga muhtoj oila restor,3,4,3,3,4,4,11
ellin,oliali,2,2,4,2,3,2,10
lntcg,oliali,4,4,2,4,3,2,12
udblb,oliali,3,4,2,2,2,4,75
liwae,chin yetim,3,3,2,2,3,3,18
vluoh,yoshlar daftari,2,4,2,2,3,4,98
gdusg,oliali,2,4,2,3,4,3,51
ybytx,yolg'iz,2,3,2,2,4,3,45
jcwht,yolg'iz,3,2,2,4,2,3,58
ijjki,oliali,3,2,4,3,4,2,94
pjrss,temir daftar,3,3,3,3,3,2,27
lrwwv,temir daftar,2,3,4,2,4,2,70
exhds,oliali,3,4,4,4,3,3,15
qgllf,yoshlar daftari,2,3,2,4,2,2,1
occbo,ijtimoiy ximoyaga muhtoj oila restor,4,3,4,2,3,2,31
xhvhh,chin yetim,3,3,2,3,2,2,5
iyolc,yolg'iz,4,4,3,4,2,3,86
vwwlb,chin yetim,4,3,4,3,4,4,93
pepdc,boquvchisini yo'qotgan,3,4,2,4,3,3,13
lkmiw,oliali,2,4,4,3,4,3,56
qbvsi,temir daftar,2,4,4,2,2,2,15
hpefw,chin yetim,4,2,4,3,2,2,60
ioenl,boquvchisini yo'qotgan,3,2,3,4,2,3,12
gobuf,yoshlar daftari,3,2,2,3,3,3,68
turvw,oliali,3,4,3,3,2,3,73
bciuz,ijtimoiy ximoyaga muhtoj oila restor,3,3,4,4,2,2,93
xjeyd,boquvchisini yo'qotgan,4,2,2,4,4,3,59
duogr,oliali,2,3,4,3,4,3,14
qbsup,yoshlar daftari,2,3,4,3,4,2,50
jcwxp,yoshlar daftari,4,4,4,2,4,2,95
avqlm,temir daftar,4,4,2,3,2,3,69
slsms,boquvchisini yo'qotgan,4,2,4,3,4,2,19
wbznj,oliali,4,3,2,3,2,4,68
tpfgu,oliali,3,3,3,2,4,3,54
bamxt,temir daftar,4,2,3,3,2,3,63
utzvd,boquvchisini yo'qotgan,2,2,2,2,3,3,7
cdmwo,boquvchisini yo'qotgan,2,3,3,4,3,2,73
jqoss,temir daftar,2,2,2,2,4,3,28
oimfj,chin yetim,3,3,3,4,2,3,79
apkrw,temir daftar,2,3,4,4,3,2,50
bybod,ijtimoiy ximoyaga muhtoj oila restor,3,3,4,2,4,3,6
rxqoo,temir daftar,4,2,3,3,3,2,81
dhrdq,temir daftar,3,2,2,2,3,4,30
clyuf,boquvchisini yo'qotgan,4,3,2,3,4,2,92
ulqtd,temir daftar,3,2,4,2,3,4,1
epkco,oliali,3,3,3,2,4,3,83
ttpoc,chin yetim,3,2,2,2,3,3,70
hgofv,temir daftar,4,3,2,3,4,2,25
wbkjj,yolg'iz,4,4,2,3,3,3,54
kcpph,ijtimoiy ximoyaga muhtoj oila restor,3,4,3,3,2,3,49
oscem,yolg'iz,3,4,2,2,4,4,13
xinev,chin yetim,4,4,3,4,2,2,52
szksb,oliali,3,4,4,3,3,3,21
pbfqn,yoshlar daftari,4,4,2,3,3,3,47
mmhyr,temir daftar,3,4,2,2,4,4,14
jpfvg,boquvchisini yo'qotgan,3,3,3,4,4,4,40
gsqhg,oliali,2,3,2,3,4,2,19
sgzmg,chin yetim,2,4,4,3,3,4,89
eyaby,yoshlar daftari,3,2,4,4,4,4,47
pbihb,ijtimoiy ximoyaga muhtoj oila restor,4,3,3,4,2,3,20
beadp,ijtimoiy ximoyaga muhtoj oila restor,4,3,3,4,4,3,30
xsoaz,chin yetim,3,4,4,2,2,4,45
ecphs,yolg'iz,3,2,3,4,2,4,32
awdql,yoshlar daftari,2,2,4,3,3,2,39
vucho,ijtimoiy ximoyaga muhtoj oila restor,4,4,4,2,4,2,68
jtlwp,chin yetim,3,3,2,4,4,4,93
ofywi,yolg'iz,3,4,2,4,2,4,32
gbcho,chin yetim,3,2,3,4,2,3,59
hrygc,boquvchisini yo'qotgan,3,4,3,4,3,4,22
fwttq,boquvchisini yo'qotgan,4,3,3,3,2,4,20
hdlgg,temir daftar,2,4,3,4,3,2,38
aurwc,chin yetim,2,2,2,2,4,4,30
qkbda,ijtimoiy ximoyaga muhtoj oila restor,2,4,4,2,4,3,93
wjwxo,yolg'iz,2,2,4,4,2,4,70
jpbyh,temir daftar,3,3,4,2,3,4,19
bdleo,yolg'iz,2,2,4,4,3,2,64
jkjsl,temir daftar,2,2,2,3,3,3,15
dfwti,yolg'iz,3,2,3,4,3,2,36
hmjws,ijtimoiy ximoyaga muhtoj oila restor,4,2,3,4,2,3,23
qiwif,ijtimoiy ximoyaga muhtoj oila restor,4,3,4,3,4,3,44
yrdhg,chin yetim,3,3,2,2,3,3,33
oqdvd,temir daftar,4,4,2,4,2,3,83
nvali,yoshlar daftari,3,3,2,2,4,4,82
sucxe,yoshlar daftari,2,4,4,4,4,3,7
wklsc,chin yetim,2,2,2,3,3,2,74
nbnoj,chin yetim,4,3,4,4,4,2,95
ufrbv,ijtimoiy ximoyaga muhtoj oila restor,2,4,3,2,2,2,66
ddeph,yolg'iz,2,3,3,2,3,2,57
lpdmk,ijtimoiy ximoyaga muhtoj oila restor,2,4,3,4,4,3,50
fimaf,chin yetim,2,2,3,4,2,4,39
skffc,oliali,4,4,3,4,2,2,18
tfetn,yoshlar daftari,4,3,4,4,4,2,62
nmcpl,yolg'iz,3,4,3,3,4,4,89
nbhin,oliali,2,4,2,4,3,2,51
kddut,temir daftar,3,2,2,4,3,4,3
zxkob,boquvchisini yo'qotgan,3,2,3,3,3,3,99
ejozx,temir daftar,3,3,4,4,2,2,88
pdqun,boquvchisini yo'qotgan,2,4,3,3,4,4,32
uiscd,boquvchisini yo'qotgan,2,2,3,4,3,3,77
uitly,yoshlar daftari,4,4,3,4,2,2,70
ngebj,yolg'iz,4,4,2,2,4,2,25
