F.I.Sh,ijtimoiy holati,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,o'rtacha bahosi,davomat
U. Diyor,yolg'iz,4,3,5,4,4,4.0,54%
B. Jamila,yoshlar daftari,5,5,4,4,4,4.4,98%
S. Gulbaxor,yoshlar daftari,4,5,2,3,2,3.2,93%
M. Sadoqat,boquvchisini yo'qotgan,5,4,5,4,3,4.2,92%
D. Shamsiddin,yoshlar daftari,2,2,3,5,5,3.4,96%
N. Munira,temir daftar,4,4,4,5,5,4.4,76%
Z. Dilrabo,boquvchisini yo'qotgan,5,2,5,3,4,3.8,82%
D. Nafisa,ijtimoiy ximoyaga muhtoj oila reestr,4,5,4,4,5,4.4,77%
T. Yoznur,temir daftar,4,4,5,3,5,4.2,79%
U. Zebiniso,chin yetim,3,5,3,4,5,4.0,95%
Q. Azamat,ijtimoiy ximoyaga muhtoj oila reestr,4,4,2,5,3,3.6,98%
P. Saboxon,yoshlar daftari,5,3,3,5,4,4.0,86%
X. Nasriddin,yoshlar daftari,3,3,4,4,2,3.2,84%
M. Ozod,yolg'iz,4,5,3,3,5,4.0,85%
H. Oynur,yolg'iz,4,4,4,5,4,4.2,73%
E. Sevara,yolg'iz,5,3,4,5,2,3.8,98%
S. Samira,yolg'iz,2,4,2,4,4,3.2,55%
D. Moxigul,yolg'iz,3,4,4,2,4,3.4,93%
M. Uchqun,boquvchisini yo'qotgan,5,4,2,4,2,3.4,99%
Q. Anvar,ijtimoiy ximoyaga muhtoj oila reestr,5,4,2,4,4,3.8,86%
Y. Mardon,chin yetim,5,3,4,4,3,3.8,74%
H. Muqaddas,yoshlar daftari,5,4,5,5,4,4.6,3%
U. Sirojiddin,temir daftar,3,4,5,5,3,4.0,79%
A. Mufiz,yoshlar daftari,4,5,4,3,5,4.2,91%
C. Safura,boquvchisini yo'qotgan,5,5,5,4,4,4.6,8%
Z. Noila,oilali,5,5,4,5,4,4.6,42%
I. Behruz,yolg'iz,3,5,2,5,5,4.0,86%
P. Anora,chin yetim,5,5,3,5,5,4.6,5%
B. Zoxida,chin yetim,5,5,2,3,5,4.0,98%
M. Sadoqat,yoshlar daftari,4,2,4,4,2,3.2,64%
J. Iffar,ijtimoiy ximoyaga muhtoj oila reestr,4,5,5,5,5,4.8,53%
F. Dilbar,ijtimoiy ximoyaga muhtoj oila reestr,5,5,4,2,2,3.6,71%
M. Ozod,ijtimoiy ximoyaga muhtoj oila reestr,5,3,4,5,4,4.2,18%
T. Ibrohim,chin yetim,5,4,3,5,5,4.4,75%
V. Samina,temir daftar,4,4,2,5,5,4.0,73%
P. Anora,chin yetim,4,4,2,4,5,3.8,79%
B. Vosil,yolg'iz,4,4,3,4,5,4.0,87%
E. Afzal,chin yetim,4,4,5,5,4,4.4,48%
P. Muzaffar,yolg'iz,3,3,5,4,3,3.6,84%
"A. Rayona, Rayyona",oilali,3,2,4,3,4,3.2,85%
H. Mansur,yoshlar daftari,3,5,2,4,2,3.2,96%
D. Fitrat,yoshlar daftari,2,2,3,5,4,3.2,68%
"N. Barchinoy, Oybarchin",ijtimoiy ximoyaga muhtoj oila reestr,3,4,5,4,5,4.2,86%
N. Roziya,chin yetim,5,4,4,5,3,4.2,74%
P. Mastura,chin yetim,4,3,4,3,5,3.8,35%
H. Kumush,boquvchisini yo'qotgan,4,4,3,4,5,4.0,34%
X. Yorqinoy,yoshlar daftari,4,5,4,4,4,4.2,36%
D. Davriya,yolg'iz,5,4,4,3,5,4.2,93%
D. Abbos,boquvchisini yo'qotgan,5,5,3,5,4,4.4,84%
N. Yoqub,chin yetim,5,4,4,4,5,4.4,70%
"N. Barchinoy, Oybarchin",oilali,3,5,4,4,2,3.6,96%
V. Asliya,temir daftar,5,2,4,4,5,4.0,27%
M. Anis,oilali,5,4,5,2,3,3.8,90%
E. Muhammad,oilali,5,4,4,3,4,4.0,26%
P. Abdulhakim,oilali,5,5,4,2,4,4.0,88%
D. Nafisa,oilali,4,5,5,5,4,4.6,58%
Y. Rafid,oilali,5,5,4,4,5,4.6,29%
"T. Saadi, Sa’di",yolg'iz,4,4,4,5,4,4.2,62%
E. Afzal,oilali,4,4,2,4,4,3.6,81%
O. Shaxzoda,boquvchisini yo'qotgan,4,4,4,4,5,4.2,60%
J. Maqsud,yoshlar daftari,4,3,4,5,5,4.2,21%
V. Rustam,oilali,3,5,3,4,3,3.6,91%
V. Jamol,chin yetim,5,4,4,4,4,4.2,91%
U. Fazliddin,boquvchisini yo'qotgan,4,5,4,5,3,4.2,93%
D. Binafsha,yolg'iz,4,5,4,5,4,4.4,87%
O. Fotima,oilali,5,5,3,3,4,4.0,72%
S. Elyor,yoshlar daftari,3,4,2,4,4,3.4,71%
R. Moxira,chin yetim,4,4,4,2,5,3.8,78%
N. A’zam,chin yetim,3,4,5,5,4,4.2,89%
D. Zebo,boquvchisini yo'qotgan,2,4,5,4,3,3.6,92%
"P. Miron, Miran",yolg'iz,4,4,5,5,5,4.6,92%
A. Afzun,boquvchisini yo'qotgan,5,5,4,4,4,4.4,95%
J. Mirdas,yoshlar daftari,5,2,4,2,4,3.4,78%
K. Bahtbek,temir daftar,4,2,3,5,5,3.8,73%
P. Samandar,boquvchisini yo'qotgan,5,3,4,5,5,4.4,82%
M. Uchqun,yoshlar daftari,4,5,2,5,4,4.0,76%
D. Binafsha,chin yetim,3,5,5,5,4,4.4,50%
P. Samandar,yoshlar daftari,3,4,4,4,4,3.8,77%
J. Lola,boquvchisini yo'qotgan,5,5,5,3,3,4.2,86%
N. A’zam,ijtimoiy ximoyaga muhtoj oila reestr,4,4,5,2,2,3.4,94%
F. Lutfiya,boquvchisini yo'qotgan,4,3,4,3,5,3.8,82%
C. Sadar,yoshlar daftari,4,4,5,4,4,4.2,11%
W. Dilso‘z,oilali,4,3,5,4,5,4.2,82%
D. Abbos,oilali,5,3,5,2,3,3.6,71%
C. Ulug‘bek,yolg'iz,5,3,2,5,4,3.8,90%
M. Farruh,ijtimoiy ximoyaga muhtoj oila reestr,5,5,3,3,3,3.8,95%
T. Arslon,yolg'iz,4,5,4,5,5,4.6,40%
K. Lochin,boquvchisini yo'qotgan,4,3,5,4,4,4.0,94%
R. Oygul,temir daftar,4,2,4,4,3,3.4,93%
D. Asilbek,yolg'iz,3,3,4,2,4,3.2,70%
C. Badriddin,ijtimoiy ximoyaga muhtoj oila reestr,4,4,4,5,4,4.2,56%
D. Avaz,yoshlar daftari,5,2,2,3,4,3.2,62%
O. Zinnura,ijtimoiy ximoyaga muhtoj oila reestr,5,5,3,4,3,4.0,0%
R. Abdulholiq,ijtimoiy ximoyaga muhtoj oila reestr,4,4,4,4,2,3.6,71%
G. Zoyir,yoshlar daftari,4,5,4,4,2,3.8,92%
G. Vasliya,temir daftar,4,3,5,2,4,3.6,76%
P. Mahmud,yoshlar daftari,3,4,2,4,4,3.4,81%
M. Ozod,ijtimoiy ximoyaga muhtoj oila reestr,4,5,4,4,5,4.4,79%
F. Urfon,yoshlar daftari,3,5,5,3,4,4.0,78%
T. Eldor,chin yetim,4,4,4,3,5,4.0,95%
Z. Latofat,yoshlar daftari,5,4,3,5,3,4.0,79%
E. Muhammad,temir daftar,2,4,4,4,3,3.4,49%
I. G‘iyos,yolg'iz,4,3,5,4,4,4.0,85%
B. Mafzuna,yolg'iz,5,4,3,3,3,3.6,71%
M. Sadoqat,yoshlar daftari,5,4,3,2,4,3.6,70%
A. Abdurrahmon,chin yetim,3,5,3,5,3,3.8,95%
G. Imron,oilali,2,2,3,5,3,3.0,84%
N. Sodiq,chin yetim,4,3,5,5,3,4.0,31%
X. Asadulloh,oilali,2,3,4,4,3,3.2,93%
W. Abdurrazzoq,ijtimoiy ximoyaga muhtoj oila reestr,3,4,5,5,5,4.4,34%
N. Fayzbek,yolg'iz,2,3,5,5,4,3.8,58%
W. Said,yoshlar daftari,4,4,3,4,4,3.8,87%
R. Abdulkarim,yoshlar daftari,4,5,5,3,4,4.2,71%
D. Moxigul,temir daftar,3,5,4,4,5,4.2,36%
A. Afzun,yoshlar daftari,5,5,4,4,4,4.4,86%
R. Zarina,boquvchisini yo'qotgan,5,4,5,5,4,4.6,78%
D. Abbos,chin yetim,5,5,2,4,5,4.2,93%
M. Ilyos,temir daftar,2,4,5,4,5,4.0,87%
Y. Zubayr,oilali,5,3,3,5,4,4.0,23%
P. Mahmud,temir daftar,3,4,5,3,5,4.0,96%
A. Fotih,oilali,4,5,4,5,2,4.0,81%
C. Zarnigor,yolg'iz,4,3,4,5,4,4.0,85%
O. Madid,ijtimoiy ximoyaga muhtoj oila reestr,4,5,5,3,3,4.0,74%
G. Zayd,yoshlar daftari,4,4,2,3,4,3.4,98%
M. Hosiyat,yoshlar daftari,5,4,2,4,3,3.6,87%
P. Gavxar,yoshlar daftari,4,4,5,2,5,4.0,34%
Y. Mardon,oilali,2,3,4,5,4,3.6,78%
T. Mahan,ijtimoiy ximoyaga muhtoj oila reestr,4,2,5,4,3,3.6,50%
D. Abbos,yolg'iz,2,5,4,5,4,4.0,72%
R. Shaxlo,yoshlar daftari,4,5,4,4,4,4.2,55%
F. Iroda,yoshlar daftari,4,5,4,2,3,3.6,37%
V. Abdurrashid,chin yetim,5,5,2,2,2,3.2,68%
P. Muzaffar,yoshlar daftari,3,3,4,4,4,3.6,94%
Y. Zubayr,temir daftar,5,4,2,5,5,4.2,58%
K. Malika,yoshlar daftari,5,4,4,3,5,4.2,5%
V. Samiya,boquvchisini yo'qotgan,5,3,4,2,5,3.8,69%
M. Nigora,boquvchisini yo'qotgan,4,5,3,3,5,4.0,10%
D. Asilbek,boquvchisini yo'qotgan,4,4,4,4,4,4.0,43%
S. Maloxat,chin yetim,4,5,4,4,5,4.4,42%
F. Nilufar,boquvchisini yo'qotgan,2,5,3,4,3,3.4,79%
W. Yasmina,boquvchisini yo'qotgan,5,5,3,5,3,4.2,91%
M. Zulayxo,ijtimoiy ximoyaga muhtoj oila reestr,4,2,4,2,4,3.2,5%
F. Abdulboriy,boquvchisini yo'qotgan,4,3,5,3,3,3.6,88%
M. Ilyos,oilali,3,5,4,5,4,4.2,80%
Y. Nizom,boquvchisini yo'qotgan,4,4,4,4,4,4.0,97%
G. Jasur,yoshlar daftari,4,5,4,5,4,4.4,95%
T. Mavdud,yolg'iz,4,2,3,5,4,3.6,42%
H. Hojimurod,oilali,5,2,4,5,5,4.2,88%
Y. Kamola,oilali,4,4,3,4,4,3.8,84%
L. Maxbuba,temir daftar,5,3,4,5,2,3.8,96%
A. Sobit,yolg'iz,5,2,5,5,5,4.4,83%
F. Shahobiddin,temir daftar,4,3,2,4,4,3.4,90%
J. Ziyoda,boquvchisini yo'qotgan,3,4,3,2,4,3.2,44%
W. Zulfiya,yoshlar daftari,4,5,4,5,4,4.4,88%
Q. Asal,oilali,3,2,4,2,4,3.0,79%
H. Alisher,yolg'iz,5,4,4,5,3,4.2,13%
N. Sodiq,boquvchisini yo'qotgan,4,4,4,3,4,3.8,95%
R. Musulmon,temir daftar,5,4,5,4,3,4.2,70%
G. Doniyor,boquvchisini yo'qotgan,3,5,4,4,5,4.2,49%
X. Asadulloh,boquvchisini yo'qotgan,3,5,3,3,4,3.6,78%
S. Gulra’no,temir daftar,5,5,5,3,5,4.6,82%
M. Asila,boquvchisini yo'qotgan,2,3,4,4,5,3.6,96%
K. Husnora,ijtimoiy ximoyaga muhtoj oila reestr,4,5,4,2,4,3.8,93%
P. Isroil,ijtimoiy ximoyaga muhtoj oila reestr,5,4,3,4,5,4.2,91%
E. Muhammad,ijtimoiy ximoyaga muhtoj oila reestr,5,4,4,5,4,4.4,85%
"A. Rayona, Rayyona",yoshlar daftari,4,4,4,4,3,3.8,78%
Z. Mo‘min,temir daftar,3,4,5,5,5,4.4,91%
B. Sarvinoz,ijtimoiy ximoyaga muhtoj oila reestr,4,5,3,4,3,3.8,78%
H. Sa’dulloh,yoshlar daftari,3,4,3,4,2,3.2,73%
Y. Madina,boquvchisini yo'qotgan,3,4,4,3,5,3.8,91%
C. Ulug‘bek,yoshlar daftari,2,4,2,5,4,3.4,97%
B. Ramziddin,ijtimoiy ximoyaga muhtoj oila reestr,4,5,4,3,4,4.0,19%
C. Nizomiddin,temir daftar,5,5,4,4,5,4.6,84%
Y. Nizom,yolg'iz,4,5,4,4,4,4.2,27%
U. Ne’matulloh,yolg'iz,5,5,5,5,5,5.0,59%
W. Durdona,ijtimoiy ximoyaga muhtoj oila reestr,5,3,3,4,4,3.8,58%
U. Zilola,yolg'iz,4,3,4,5,2,3.6,91%
Z. Fozil,ijtimoiy ximoyaga muhtoj oila reestr,3,4,4,4,2,3.4,90%
H. Jumagul,boquvchisini yo'qotgan,4,5,3,2,4,3.6,89%
P. Abduljalil,ijtimoiy ximoyaga muhtoj oila reestr,5,5,4,4,2,4.0,74%
B. Abdulmajid,chin yetim,5,3,5,2,5,4.0,88%
S. Ravshan,yoshlar daftari,3,5,4,3,3,3.6,79%
K. Nurlan,temir daftar,3,5,3,5,5,4.2,43%
O. Diyora,ijtimoiy ximoyaga muhtoj oila reestr,5,5,5,3,5,4.6,96%
X. Solixa,yoshlar daftari,4,5,5,5,4,4.6,32%
G. Doniyor,boquvchisini yo'qotgan,3,5,2,4,5,3.8,94%
V. Muqaddam,yoshlar daftari,5,3,4,4,5,4.2,95%
B. Mafzuna,yolg'iz,4,3,3,4,3,3.4,72%
T. Nargiza,oilali,5,4,3,4,2,3.6,82%
U. Afruza,temir daftar,4,4,2,4,4,3.6,86%
C. Sadar,boquvchisini yo'qotgan,2,4,4,5,4,3.8,69%
D. Dildora,yolg'iz,4,4,5,2,3,3.6,23%
K. Shahzod,oilali,4,5,4,3,5,4.2,74%
Q. Aziz,temir daftar,3,5,5,4,3,4.0,16%
C. Muniba,yoshlar daftari,4,4,3,5,5,4.2,73%
M. Hosiyat,chin yetim,4,5,5,4,4,4.4,94%
C. Ulug‘bek,chin yetim,4,4,5,3,4,4.0,80%
R. Zarina,boquvchisini yo'qotgan,2,5,4,4,4,3.8,79%
X. Dilmurod,oilali,3,5,4,2,3,3.4,89%
F. Dilbar,yoshlar daftari,4,4,5,4,4,4.2,8%
P. Muzaffar,oilali,5,4,4,5,5,4.6,42%
Q. Hoji,oilali,3,3,3,5,5,3.8,17%
M. G‘affor,oilali,3,5,4,4,4,4.0,96%
H. Nazif,boquvchisini yo'qotgan,2,5,2,2,5,3.2,87%
F. Urfon,oilali,4,3,3,4,5,3.8,83%
C. Umid,yoshlar daftari,5,3,4,4,5,4.2,72%
X. Mushtariy,oilali,5,4,3,3,3,3.6,76%
H. Hanifa,oilali,4,4,3,5,5,4.2,80%
J. Toyip,oilali,4,4,4,4,5,4.2,76%
S. Ravshan,yolg'iz,5,4,3,5,3,4.0,96%
P. Gavxar,oilali,4,4,5,4,4,4.2,90%
Q. Anvar,ijtimoiy ximoyaga muhtoj oila reestr,5,5,5,3,5,4.6,9%
P. Abdulhakim,ijtimoiy ximoyaga muhtoj oila reestr,5,4,4,5,4,4.4,74%
P. Samandar,temir daftar,5,4,3,4,5,4.2,77%
V. Nozima,yolg'iz,5,5,4,5,2,4.2,84%
K. Ramziya,temir daftar,3,4,3,4,4,3.6,84%
A. Safir,yoshlar daftari,4,5,4,3,2,3.6,71%
V. Nozima,chin yetim,4,4,4,4,3,3.8,16%
M. Abdulaziz,oilali,4,4,5,4,4,4.2,37%
H. Hojimurod,oilali,2,5,5,4,5,4.2,89%
P. Anora,temir daftar,3,4,3,4,4,3.6,68%
N. Abdulvohid,yolg'iz,5,2,4,5,5,4.2,92%
R. Nusratulloh,oilali,4,4,4,3,2,3.4,96%
R. Abdulholiq,chin yetim,4,4,4,4,4,4.0,68%
T. Alima,temir daftar,4,5,2,3,3,3.4,14%
H. Muattar,yolg'iz,4,2,5,4,5,4.0,31%
A. Shaxnoza,temir daftar,5,3,4,5,5,4.4,50%
Q. Jo‘rabek,temir daftar,2,5,2,2,4,3.0,88%
S. Omina,temir daftar,4,5,4,4,5,4.4,76%
L. Gulzoda,yoshlar daftari,5,4,5,4,4,4.4,92%
M. Salima,boquvchisini yo'qotgan,4,4,3,4,3,3.6,89%
N. Bilol,temir daftar,4,4,4,4,3,3.8,84%
V. Muqaddam,yoshlar daftari,4,5,3,5,4,4.2,87%
W. Amir,temir daftar,5,4,4,5,2,4.0,70%
P. Komil,yolg'iz,3,2,5,3,4,3.4,79%
P. G‘ulom,yolg'iz,4,5,5,5,4,4.6,99%
H. Muqaddas,ijtimoiy ximoyaga muhtoj oila reestr,3,4,5,5,4,4.2,99%
X. Dovud,chin yetim,5,5,5,5,4,4.8,96%
E. Guljamol,oilali,4,3,3,4,4,3.6,45%
C. Sadar,ijtimoiy ximoyaga muhtoj oila reestr,4,5,5,2,3,3.8,84%
C. Muniba,chin yetim,5,5,5,3,3,4.2,73%
L. E’zoza,ijtimoiy ximoyaga muhtoj oila reestr,5,2,4,4,3,3.6,22%
J. Ziyoda,oilali,3,4,4,5,4,4.0,78%
V. Husniya,temir daftar,5,4,4,4,5,4.4,95%
L. E’zoza,boquvchisini yo'qotgan,5,5,5,4,3,4.4,22%
H. Jumagul,chin yetim,4,2,4,4,5,3.8,79%
A. Abdurrahmon,ijtimoiy ximoyaga muhtoj oila reestr,5,3,3,3,4,3.6,87%
Z. Latofat,boquvchisini yo'qotgan,3,3,4,4,3,3.4,73%
K. Zamira,temir daftar,4,2,5,4,4,3.8,87%
Z. Dilrabo,boquvchisini yo'qotgan,5,3,3,4,4,3.8,85%
X. Yorqinoy,temir daftar,5,5,5,4,4,4.6,80%
P. Abdulahad,chin yetim,3,3,3,4,3,3.2,0%
N. Muzayyana,boquvchisini yo'qotgan,2,3,4,3,3,3.0,73%
C. Ulug‘bek,ijtimoiy ximoyaga muhtoj oila reestr,3,5,2,4,4,3.6,85%
D. Nafisa,oilali,3,4,4,3,4,3.6,99%
B. Sarvinoz,yolg'iz,3,5,5,4,2,3.8,84%
H. Muqaddas,yoshlar daftari,4,4,5,2,5,4.0,7%
M. Asila,chin yetim,3,5,5,5,3,4.2,83%
D. Bekzod,yolg'iz,2,4,5,4,5,4.0,89%
M. To‘lqin,oilali,3,4,4,3,4,3.6,2%
J. Saida,oilali,2,5,3,5,2,3.4,77%
T. Hamdam,yoshlar daftari,4,3,4,5,4,4.0,87%
M. Farruh,ijtimoiy ximoyaga muhtoj oila reestr,3,4,4,5,2,3.6,92%
M. To‘lqin,temir daftar,4,4,4,4,5,4.2,79%
M. Moxidil,temir daftar,5,5,5,3,2,4.0,14%
H. Sa’dulloh,chin yetim,5,4,3,4,5,4.2,80%
U. Husnida,oilali,2,4,4,3,5,3.6,96%
P. Gavxar,ijtimoiy ximoyaga muhtoj oila reestr,5,5,4,4,2,4.0,89%
D. Mavlon,chin yetim,4,4,3,4,4,3.8,43%
T. Yoznur,oilali,5,5,2,3,4,3.8,33%
G. Doniyor,temir daftar,2,4,4,4,4,3.6,78%
H. Safiya,oilali,3,3,4,3,5,3.6,89%
X. Asadulloh,oilali,5,5,4,4,4,4.4,65%
"J. Rasifa, Rasixa",ijtimoiy ximoyaga muhtoj oila reestr,5,4,5,4,2,4.0,22%
T. Nargiza,boquvchisini yo'qotgan,3,3,4,4,3,3.4,91%
M. Hosiyat,yoshlar daftari,4,4,3,4,2,3.4,79%
M. Ilyos,chin yetim,4,4,4,4,5,4.2,40%
R. Abdulholiq,yoshlar daftari,5,4,3,5,3,4.0,79%
G. Komila,boquvchisini yo'qotgan,3,5,5,4,4,4.2,75%
N. Muzayyana,temir daftar,4,4,4,4,5,4.2,82%
H. Alisher,ijtimoiy ximoyaga muhtoj oila reestr,5,5,5,3,5,4.6,6%
H. Hanifa,boquvchisini yo'qotgan,3,5,4,3,5,4.0,68%
R. Zaxro,yoshlar daftari,4,4,5,4,3,4.0,59%
V. Ashraf,oilali,4,4,3,5,5,4.2,76%
D. Dildora,boquvchisini yo'qotgan,5,4,5,3,4,4.2,71%
S. Zokir,temir daftar,4,5,2,4,3,3.6,75%
D. Dildora,yolg'iz,4,5,3,4,3,3.8,87%
Z. Fozil,boquvchisini yo'qotgan,5,2,5,5,5,4.4,81%
N. Abdulfattoh,boquvchisini yo'qotgan,4,4,2,3,5,3.6,60%
U. Umar,chin yetim,5,4,5,5,4,4.6,75%
V. Gulsora,yolg'iz,4,4,5,4,4,4.2,85%
D. Fitrat,ijtimoiy ximoyaga muhtoj oila reestr,3,4,2,3,4,3.2,95%
"P. Miron, Miran",yolg'iz,4,4,3,5,3,3.8,26%
C. Zarnigor,ijtimoiy ximoyaga muhtoj oila reestr,3,4,4,4,5,4.0,87%
A. Abdurrahmon,chin yetim,4,4,4,4,2,3.6,92%
P. Muzaffar,ijtimoiy ximoyaga muhtoj oila reestr,2,5,2,5,3,3.4,94%
S. Zokir,temir daftar,4,5,4,5,4,4.4,52%
B. Farangiz,yoshlar daftari,4,3,3,4,5,3.8,80%
A. Mufiz,yoshlar daftari,3,5,3,5,2,3.6,88%
D. Muhsin,boquvchisini yo'qotgan,3,3,5,4,4,3.8,87%
I. Hilola,yolg'iz,5,5,2,4,3,3.8,14%
H. Abdulhafiz,oilali,5,2,2,3,3,3.0,6%
Y. Komron,ijtimoiy ximoyaga muhtoj oila reestr,3,2,4,3,4,3.2,83%
Y. Islom,chin yetim,4,5,3,5,4,4.2,90%
Y. Islom,yoshlar daftari,5,4,3,4,3,3.8,61%
Z. Noila,yoshlar daftari,4,4,3,3,5,3.8,83%
P. Rizvon,yolg'iz,5,4,4,4,4,4.2,98%
M. Asila,ijtimoiy ximoyaga muhtoj oila reestr,5,4,5,5,5,4.8,71%
J. Ibodulloh,boquvchisini yo'qotgan,5,3,4,4,4,4.0,74%
N. Sarvar,yolg'iz,3,3,5,4,3,3.6,90%
U. Vafo,temir daftar,4,4,3,2,5,3.6,87%
"J. Rasifa, Rasixa",chin yetim,4,4,4,5,5,4.4,98%
V. Nozima,yolg'iz,5,4,5,5,3,4.4,36%
Y. Rafid,temir daftar,4,4,4,4,3,3.8,98%
"T. Saadi, Sa’di",temir daftar,5,4,4,4,5,4.4,83%
N. Muxlisa,yoshlar daftari,2,5,5,4,2,3.6,98%
J. Ikrom,temir daftar,5,4,4,5,3,4.2,75%
F. Urfon,oilali,4,4,4,4,5,4.2,10%
D. Abdulvahhob,oilali,5,4,4,4,3,4.0,96%
G. Komila,oilali,2,2,5,3,4,3.2,71%
J. Saida,chin yetim,3,4,4,5,2,3.6,81%
U. Abdulg‘afur,yoshlar daftari,3,5,5,3,4,4.0,86%
J. Mirdas,chin yetim,5,5,3,4,4,4.2,71%
R. Marjona,boquvchisini yo'qotgan,4,5,3,2,5,3.8,93%
H. Iqbol,temir daftar,4,5,5,2,4,4.0,89%
L. Halima,yolg'iz,2,4,3,5,5,3.8,89%
T. Gulchexra,yoshlar daftari,4,3,4,5,4,4.0,85%
T. Eldor,oilali,5,5,4,5,5,4.8,96%
C. Ulug‘bek,yoshlar daftari,3,3,2,4,4,3.2,95%
P. Muzaffar,oilali,4,3,2,4,3,3.2,80%
Y. Islom,chin yetim,2,2,2,5,4,3.0,53%
E. Guljamol,yoshlar daftari,4,5,4,4,5,4.4,80%
Y. Saxida,ijtimoiy ximoyaga muhtoj oila reestr,4,5,4,4,4,4.2,4%
E. Ma’ruf,yolg'iz,3,4,4,2,4,3.4,80%
M. Uchqun,chin yetim,4,3,2,3,4,3.2,77%
N. Abdulmalik,chin yetim,2,4,3,5,5,3.8,42%
G. Jasur,boquvchisini yo'qotgan,3,5,5,5,4,4.4,76%
A. Hurshida,yolg'iz,5,5,4,4,2,4.0,96%
A. Safir,ijtimoiy ximoyaga muhtoj oila reestr,4,3,3,3,4,3.4,85%
B. Abdulmajid,yolg'iz,4,4,4,5,3,4.0,86%
P. Abduljalil,temir daftar,3,5,5,4,4,4.2,26%
Z. Mo‘min,boquvchisini yo'qotgan,2,4,4,4,5,3.8,80%
Q. Asal,temir daftar,5,5,2,4,4,4.0,54%
L. E’zoza,boquvchisini yo'qotgan,3,5,4,4,3,3.8,96%
S. Hurram,temir daftar,2,4,3,5,2,3.2,85%
C. Ulug‘bek,ijtimoiy ximoyaga muhtoj oila reestr,3,5,2,3,5,3.6,80%
T. Mahan,oilali,4,3,5,4,4,4.0,70%
R. Abdulkarim,yoshlar daftari,4,2,2,5,3,3.2,96%
W. Izzatulloh,temir daftar,5,3,4,5,3,4.0,84%
P. Abduljalil,yolg'iz,4,4,4,4,3,3.8,97%
L. Jasmina,chin yetim,4,4,3,3,4,3.6,26%
C. Zarnigor,chin yetim,5,5,5,5,3,4.6,81%
R. Abdulholiq,temir daftar,4,4,4,4,3,3.8,12%
B. Vosil,yolg'iz,4,3,2,4,4,3.4,94%
Q. Sitora,temir daftar,5,4,5,2,2,3.6,80%
B. Abdussamad,yolg'iz,4,4,4,3,2,3.4,65%
K. Malika,yoshlar daftari,2,5,5,5,3,4.0,9%
H. Abdulqahhor,ijtimoiy ximoyaga muhtoj oila reestr,5,5,4,4,2,4.0,88%
D. Yulduz,chin yetim,4,4,4,4,4,4.0,87%
O. Abror,oilali,4,3,2,4,5,3.6,86%
V. Muslima,ijtimoiy ximoyaga muhtoj oila reestr,4,3,4,3,3,3.4,99%
S. Samira,chin yetim,5,4,2,5,5,4.2,13%
H. Bobur,yolg'iz,4,4,5,2,5,4.0,80%
F. Valiya,temir daftar,5,4,4,4,5,4.4,95%
G. Komila,oilali,4,4,4,4,5,4.2,63%
D. Rahim,yolg'iz,5,2,4,4,5,4.0,91%
R. Munisa,yoshlar daftari,4,4,4,3,5,4.0,72%
O. Madid,yoshlar daftari,4,3,4,3,5,3.8,98%
K. Lochin,boquvchisini yo'qotgan,3,5,4,5,5,4.4,75%
D. Shamsiddin,oilali,5,5,2,3,4,3.8,88%
C. Umid,oilali,5,5,4,5,4,4.6,80%
V. Jahongir,ijtimoiy ximoyaga muhtoj oila reestr,5,5,3,4,3,4.0,76%
D. Davriya,yolg'iz,4,2,4,5,5,4.0,76%
R. Oygul,temir daftar,4,4,5,5,5,4.6,92%
Y. Saxida,ijtimoiy ximoyaga muhtoj oila reestr,5,5,3,2,5,4.0,33%
D. Moxigul,boquvchisini yo'qotgan,5,4,2,3,3,3.4,15%
P. Rizvon,temir daftar,3,2,3,5,2,3.0,74%
C. Muniba,oilali,5,5,4,5,2,4.2,5%
P. Rizvon,boquvchisini yo'qotgan,3,4,3,4,5,3.8,72%
C. Umid,chin yetim,5,4,3,5,4,4.2,44%
M. Ozod,ijtimoiy ximoyaga muhtoj oila reestr,4,2,4,3,4,3.4,82%
"N. Barchinoy, Oybarchin",boquvchisini yo'qotgan,4,4,5,4,2,3.8,76%
J. Saida,yolg'iz,4,2,5,5,2,3.6,91%
U. Ahmad,oilali,4,5,5,3,4,4.2,73%
Y. Hikmat,chin yetim,5,4,5,3,5,4.4,48%
P. Elmurod,boquvchisini yo'qotgan,4,5,4,4,3,4.0,85%
N. Fayzbek,ijtimoiy ximoyaga muhtoj oila reestr,4,5,4,4,5,4.4,3%
M. Munif,ijtimoiy ximoyaga muhtoj oila reestr,5,5,4,2,4,4.0,8%
C. Ulug‘bek,boquvchisini yo'qotgan,4,4,4,2,5,3.8,71%
V. Abdurrashid,oilali,4,3,3,4,5,3.8,4%
J. Toyip,yoshlar daftari,3,4,3,5,4,3.8,87%
K. Mohir,oilali,5,4,2,5,4,4.0,78%
A. Shaxnoza,ijtimoiy ximoyaga muhtoj oila reestr,3,5,5,4,4,4.2,29%
V. Abdulhay,chin yetim,4,5,4,4,5,4.4,34%
G. Vasliya,boquvchisini yo'qotgan,4,4,4,4,4,4.0,90%
T. Nargiza,chin yetim,2,5,4,4,3,3.6,26%
L. Zumrad,chin yetim,5,5,5,4,4,4.6,96%
