F.I.Sh,ijtimoiy holati,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,o'rtacha bahosi,davomat
quzxt,boquvchisini yo'qotgan,4,3,2,3,4,3.2,36%
edltx,ijtimoiy ximoyaga muhtoj oila reestr,2,4,4,2,2,2.8,93%
rqsid,yolg'iz,3,3,4,2,2,2.8,90%
zubdb,temir daftar,3,4,4,3,2,3.2,38%
obdfg,yoshlar daftari,3,3,3,3,2,2.8,62%
jsszv,temir daftar,3,2,3,4,2,2.8,78%
lcmrh,boquvchisini yo'qotgan,4,3,3,3,2,3.0,25%
uoacz,boquvchisini yo'qotgan,4,2,2,3,4,3.0,64%
hdpwj,ijtimoiy ximoyaga muhtoj oila reestr,3,2,3,4,3,3.0,3%
lnnbw,ijtimoiy ximoyaga muhtoj oila reestr,4,4,3,2,3,3.2,28%
eefmi,oilali,2,2,3,2,2,2.2,0%
vonxg,yolg'iz,3,3,3,2,4,3.0,49%
ytbgf,boquvchisini yo'qotgan,2,4,3,4,3,3.2,85%
qyybc,yoshlar daftari,3,4,3,4,3,3.4,10%
eeahl,temir daftar,2,2,3,3,4,2.8,73%
xdmwo,chin yetim,2,4,3,3,4,3.2,58%
kjcvn,ijtimoiy ximoyaga muhtoj oila reestr,3,2,4,2,2,2.6,61%
pjjli,chin yetim,2,4,3,2,2,2.6,80%
aethk,yoshlar daftari,2,3,3,4,3,3.0,35%
layvt,ijtimoiy ximoyaga muhtoj oila reestr,4,4,4,4,4,4.0,55%
ykeoe,chin yetim,2,3,2,4,3,2.8,89%
leqqx,yolg'iz,2,2,4,2,2,2.4,20%
lxoof,yoshlar daftari,2,2,2,4,4,2.8,12%
ltrnb,temir daftar,2,4,4,3,2,3.0,8%
ietza,yolg'iz,4,4,2,3,2,3.0,10%
wcfeu,yoshlar daftari,3,2,2,2,2,2.2,74%
eaqsn,oilali,3,3,4,2,3,3.0,69%
ljtur,ijtimoiy ximoyaga muhtoj oila reestr,3,3,2,4,3,3.0,0%
xkbyr,boquvchisini yo'qotgan,2,3,3,4,3,3.0,69%
ygxok,temir daftar,3,2,2,4,2,2.6,76%
rwlft,yolg'iz,2,4,3,4,2,3.0,85%
wmtpr,yolg'iz,4,3,4,2,2,3.0,55%
jwhru,chin yetim,4,3,4,3,3,3.4,30%
awhfe,ijtimoiy ximoyaga muhtoj oila reestr,4,3,2,4,3,3.2,85%
ovoba,boquvchisini yo'qotgan,2,4,2,2,2,2.4,36%
wwzkj,yoshlar daftari,3,4,4,3,4,3.6,46%
rrqzh,boquvchisini yo'qotgan,2,4,3,2,3,2.8,90%
ohqlh,ijtimoiy ximoyaga muhtoj oila reestr,2,2,4,2,3,2.6,77%
yndaa,ijtimoiy ximoyaga muhtoj oila reestr,4,3,2,3,3,3.0,46%
spnup,oilali,2,4,3,2,4,3.0,68%
eizbr,oilali,4,4,3,3,3,3.4,57%
fiaiy,boquvchisini yo'qotgan,4,3,2,3,3,3.0,35%
pmium,yoshlar daftari,4,3,2,4,2,3.0,31%
ikdbf,boquvchisini yo'qotgan,4,4,3,2,4,3.4,97%
ndfsf,ijtimoiy ximoyaga muhtoj oila reestr,3,4,4,4,4,3.8,63%
brmiw,ijtimoiy ximoyaga muhtoj oila reestr,4,4,3,4,2,3.4,70%
smkax,chin yetim,3,2,4,2,4,3.0,41%
vgyuo,oilali,4,3,3,4,3,3.4,47%
alzgo,chin yetim,2,3,3,2,3,2.6,73%
usyaq,temir daftar,4,2,4,2,4,3.2,80%
qclfz,ijtimoiy ximoyaga muhtoj oila reestr,4,3,4,3,2,3.2,29%
kchnn,chin yetim,4,4,2,2,4,3.2,20%
jbnic,boquvchisini yo'qotgan,2,3,2,2,4,2.6,59%
uzhpb,oilali,3,2,3,3,3,2.8,12%
fuzyl,oilali,4,2,4,2,2,2.8,0%
ebpeo,yoshlar daftari,4,3,3,2,4,3.2,64%
ldokp,boquvchisini yo'qotgan,3,3,2,2,4,2.8,32%
wfnrl,yoshlar daftari,2,3,3,3,3,2.8,37%
kmuwk,chin yetim,4,4,2,2,2,2.8,24%
wpouo,yolg'iz,4,3,2,3,2,2.8,25%
ydkso,temir daftar,2,2,2,2,3,2.2,76%
dumvs,boquvchisini yo'qotgan,2,3,4,2,3,2.8,58%
bndpu,boquvchisini yo'qotgan,4,4,4,3,2,3.4,91%
tnoch,boquvchisini yo'qotgan,2,3,2,3,2,2.4,32%
pjdrb,yoshlar daftari,4,2,3,3,4,3.2,40%
qmdzy,chin yetim,3,2,2,4,3,2.8,29%
kgljg,boquvchisini yo'qotgan,4,2,4,3,4,3.4,56%
mgxqj,yolg'iz,3,3,2,2,2,2.4,48%
jxdtd,boquvchisini yo'qotgan,3,4,3,2,2,2.8,47%
vgval,oilali,4,2,2,2,4,2.8,71%
xmjom,temir daftar,3,2,4,2,4,3.0,48%
wvvuv,oilali,2,4,2,3,2,2.6,46%
izioj,oilali,4,2,3,2,4,3.0,55%
xzyjh,temir daftar,4,3,4,2,2,3.0,64%
xpqze,yolg'iz,2,4,2,2,2,2.4,11%
drxsd,chin yetim,3,4,4,4,3,3.6,68%
gjyrs,oilali,4,3,3,4,2,3.2,87%
djawr,chin yetim,2,4,4,3,4,3.4,5%
eoqcl,oilali,3,4,2,2,4,3.0,88%
bawuq,ijtimoiy ximoyaga muhtoj oila reestr,3,2,3,4,4,3.2,64%
vpeoc,temir daftar,2,4,2,3,2,2.6,24%
gkjin,oilali,2,3,2,2,4,2.6,0%
myybc,ijtimoiy ximoyaga muhtoj oila reestr,3,2,3,3,2,2.6,31%
gurcj,yoshlar daftari,4,3,2,3,4,3.2,2%
vgiqk,ijtimoiy ximoyaga muhtoj oila reestr,4,4,2,2,4,3.2,48%
gxnsd,boquvchisini yo'qotgan,2,4,2,4,3,3.0,18%
zfjgm,oilali,4,4,2,2,2,2.8,59%
ndhea,ijtimoiy ximoyaga muhtoj oila reestr,2,2,2,3,4,2.6,28%
dciha,chin yetim,4,4,3,4,3,3.6,49%
figdm,yoshlar daftari,3,3,4,3,4,3.4,1%
qbelu,yolg'iz,4,2,2,3,3,2.8,72%
hfhrc,oilali,4,3,3,4,3,3.4,55%
vlzcv,boquvchisini yo'qotgan,3,4,4,2,4,3.4,16%
fbwlb,yolg'iz,2,3,4,4,4,3.4,59%
fqcbw,ijtimoiy ximoyaga muhtoj oila reestr,3,2,3,3,4,3.0,35%
thvlz,yolg'iz,2,3,4,3,3,3.0,60%
demoy,yolg'iz,4,4,2,3,4,3.4,16%
wpjyw,yoshlar daftari,4,2,2,4,2,2.8,48%
plqpl,yolg'iz,4,3,2,3,3,3.0,75%
htcpm,yolg'iz,3,4,3,3,3,3.2,59%
wshve,oilali,4,3,3,2,4,3.2,19%
thxla,yoshlar daftari,3,2,4,4,4,3.4,49%
yutfv,boquvchisini yo'qotgan,4,4,4,3,3,3.6,2%
rhgau,ijtimoiy ximoyaga muhtoj oila reestr,3,3,2,3,4,3.0,42%
plftb,yoshlar daftari,3,3,4,3,3,3.2,56%
ndawr,yoshlar daftari,3,2,3,4,4,3.2,49%
mbiub,temir daftar,3,3,3,4,4,3.4,67%
yiakc,yoshlar daftari,2,2,2,4,2,2.4,80%
twzdr,temir daftar,3,3,4,2,3,3.0,49%
wfcvk,ijtimoiy ximoyaga muhtoj oila reestr,4,2,3,2,4,3.0,36%
ovetj,yolg'iz,2,4,2,3,4,3.0,45%
loqjf,oilali,4,4,2,2,3,3.0,41%
rmcxj,oilali,4,4,2,2,3,3.0,14%
nfcpg,ijtimoiy ximoyaga muhtoj oila reestr,3,2,4,3,2,2.8,32%
tniou,ijtimoiy ximoyaga muhtoj oila reestr,2,4,2,2,3,2.6,79%
cbbcr,chin yetim,2,2,3,4,4,3.0,10%
ntrjy,yolg'iz,3,3,4,4,4,3.6,19%
byvad,ijtimoiy ximoyaga muhtoj oila reestr,4,4,3,2,4,3.4,23%
nanpv,yoshlar daftari,4,2,2,2,2,2.4,63%
ntcci,oilali,2,2,3,2,2,2.2,79%
fymub,boquvchisini yo'qotgan,3,2,4,4,2,3.0,93%
hubdy,oilali,3,4,3,4,2,3.2,97%
odmlm,temir daftar,3,3,3,4,4,3.4,64%
ntrfk,oilali,4,2,4,2,3,3.0,87%
bwsse,chin yetim,3,2,4,2,3,2.8,87%
sbjyb,yolg'iz,3,2,4,4,2,3.0,72%
krxoi,ijtimoiy ximoyaga muhtoj oila reestr,2,4,3,2,4,3.0,85%
wsicu,yolg'iz,4,3,3,3,3,3.2,75%
insgp,ijtimoiy ximoyaga muhtoj oila reestr,3,2,4,2,2,2.6,16%
paddg,oilali,2,2,2,3,3,2.4,88%
hqegt,boquvchisini yo'qotgan,4,2,4,3,3,3.2,91%
tdfgr,boquvchisini yo'qotgan,3,2,2,3,4,2.8,60%
etcgv,chin yetim,4,3,4,3,4,3.6,14%
ngeve,temir daftar,3,4,2,3,3,3.0,93%
wbuvf,oilali,4,3,3,3,2,3.0,50%
oujwz,ijtimoiy ximoyaga muhtoj oila reestr,2,4,2,4,2,2.8,26%
xgeam,oilali,4,2,2,4,3,3.0,85%
uzrmu,chin yetim,3,2,4,3,4,3.2,73%
uremd,yoshlar daftari,3,4,2,4,3,3.2,60%
qcqku,yoshlar daftari,2,4,3,2,4,3.0,57%
twuzd,chin yetim,3,4,4,2,2,3.0,30%
btprh,ijtimoiy ximoyaga muhtoj oila reestr,3,2,3,4,4,3.2,90%
citfj,yolg'iz,3,4,2,4,2,3.0,11%
ujmqi,chin yetim,3,3,4,4,2,3.2,45%
qxiia,ijtimoiy ximoyaga muhtoj oila reestr,2,4,4,3,3,3.2,30%
bpajr,boquvchisini yo'qotgan,3,4,4,4,3,3.6,31%
zhukw,chin yetim,4,2,4,4,4,3.6,31%
bhvhq,ijtimoiy ximoyaga muhtoj oila reestr,4,4,2,2,4,3.2,98%
oqwxm,chin yetim,3,4,4,4,3,3.6,52%
selaw,chin yetim,3,3,2,3,2,2.6,60%
ehmhy,yolg'iz,2,3,3,3,2,2.6,45%
wkams,yolg'iz,4,3,3,3,2,3.0,84%
xcxqe,ijtimoiy ximoyaga muhtoj oila reestr,2,4,3,2,4,3.0,73%
tuhzn,ijtimoiy ximoyaga muhtoj oila reestr,3,2,3,3,2,2.6,79%
dktos,temir daftar,2,2,3,3,4,2.8,6%
gsskz,chin yetim,3,2,3,4,4,3.2,3%
eevhj,yoshlar daftari,2,2,4,4,4,3.2,90%
fopqh,chin yetim,2,4,4,2,3,3.0,51%
hyibo,chin yetim,3,4,3,3,3,3.2,88%
rcqdd,ijtimoiy ximoyaga muhtoj oila reestr,3,4,3,3,2,3.0,30%
niiyz,chin yetim,4,2,2,4,3,3.0,74%
wrjud,oilali,2,4,3,4,2,3.0,83%
lhbvm,chin yetim,3,3,4,3,2,3.0,35%
upbkj,oilali,2,2,4,3,3,2.8,53%
oqhrw,yolg'iz,3,2,3,2,3,2.6,53%
iyhnz,yoshlar daftari,2,3,4,4,2,3.0,16%
yrvtt,ijtimoiy ximoyaga muhtoj oila reestr,2,3,3,4,3,3.0,74%
ulsnq,chin yetim,2,2,2,2,2,2.0,29%
xuczw,oilali,4,4,2,3,2,3.0,98%
gqlio,oilali,4,2,4,4,2,3.2,21%
rumuh,yolg'iz,2,3,4,3,2,2.8,42%
nhngw,oilali,4,3,3,3,2,3.0,26%
lkvvk,boquvchisini yo'qotgan,2,2,4,2,4,2.8,36%
yvmrb,temir daftar,3,3,2,3,2,2.6,45%
uotro,yoshlar daftari,4,3,2,3,3,3.0,34%
swxlm,yolg'iz,2,3,3,3,3,2.8,3%
vkeax,yolg'iz,4,3,3,2,4,3.2,79%
cvswg,chin yetim,2,2,2,4,2,2.4,79%
loyeo,boquvchisini yo'qotgan,2,2,3,2,4,2.6,84%
hjzph,chin yetim,4,3,4,4,3,3.6,25%
aleca,chin yetim,2,3,2,2,4,2.6,99%
dhcjb,ijtimoiy ximoyaga muhtoj oila reestr,3,4,4,2,4,3.4,18%
kyjun,ijtimoiy ximoyaga muhtoj oila reestr,3,4,4,2,3,3.2,80%
gbipm,ijtimoiy ximoyaga muhtoj oila reestr,4,2,4,3,4,3.4,44%
itdvj,boquvchisini yo'qotgan,4,2,4,2,3,3.0,25%
zzvlq,chin yetim,4,3,3,4,2,3.2,21%
nnybu,temir daftar,3,3,4,4,4,3.6,57%
ytkps,yoshlar daftari,4,4,4,2,3,3.4,62%
wfxse,ijtimoiy ximoyaga muhtoj oila reestr,2,2,4,3,2,2.6,27%
zdodt,ijtimoiy ximoyaga muhtoj oila reestr,4,4,3,2,2,3.0,64%
jxvcz,yolg'iz,2,4,3,3,2,2.8,43%
efuvh,chin yetim,4,2,3,4,2,3.0,99%
gujfn,chin yetim,2,4,3,4,2,3.0,42%
dymtq,boquvchisini yo'qotgan,2,2,2,3,3,2.4,36%
wgdnc,boquvchisini yo'qotgan,2,3,3,3,2,2.6,65%
xepzw,ijtimoiy ximoyaga muhtoj oila reestr,4,4,4,2,3,3.4,16%
tdxxb,chin yetim,3,2,2,4,4,3.0,39%
rssqn,temir daftar,2,4,3,2,2,2.6,37%
svxml,yoshlar daftari,3,3,3,4,2,3.0,84%
zfuds,chin yetim,4,3,4,3,4,3.6,60%
pmdwq,yolg'iz,4,3,4,2,4,3.4,8%
wartq,chin yetim,4,2,3,2,4,3.0,76%
okyvm,oilali,3,4,4,2,2,3.0,74%
aqfdt,boquvchisini yo'qotgan,3,3,3,4,2,3.0,60%
poofo,yolg'iz,2,2,3,2,2,2.2,79%
nkgiz,yoshlar daftari,2,3,2,3,2,2.4,15%
peytj,ijtimoiy ximoyaga muhtoj oila reestr,2,2,3,3,2,2.4,1%
rcmkq,yolg'iz,4,3,3,2,4,3.2,71%
vmfqm,chin yetim,2,3,3,2,2,2.4,42%
susjc,ijtimoiy ximoyaga muhtoj oila reestr,4,4,3,4,4,3.8,41%
nzsee,chin yetim,3,3,3,3,2,2.8,76%
tquje,ijtimoiy ximoyaga muhtoj oila reestr,3,3,3,4,3,3.2,56%
dfzdg,yoshlar daftari,2,2,3,2,4,2.6,80%
grcax,boquvchisini yo'qotgan,3,2,2,3,2,2.4,87%
ydfiv,yoshlar daftari,3,2,4,2,2,2.6,66%
nlytx,oilali,3,2,3,4,3,3.0,29%
yduxl,temir daftar,3,2,4,3,2,2.8,12%
jvgcw,boquvchisini yo'qotgan,2,3,2,3,3,2.6,18%
nxjpp,yoshlar daftari,3,4,3,2,4,3.2,6%
vjymf,oilali,2,4,4,4,4,3.6,8%
limdx,temir daftar,2,3,2,3,2,2.4,82%
ktrzk,oilali,4,4,3,3,2,3.2,53%
yudra,chin yetim,3,2,3,3,3,2.8,85%
gforx,chin yetim,4,4,2,3,2,3.0,81%
ktxop,ijtimoiy ximoyaga muhtoj oila reestr,3,4,4,3,3,3.4,60%
gujzl,boquvchisini yo'qotgan,4,4,2,4,3,3.4,86%
xnyez,chin yetim,2,3,2,3,4,2.8,1%
urecw,yolg'iz,3,2,3,2,3,2.6,49%
zexqs,oilali,4,4,3,3,3,3.4,74%
syuly,boquvchisini yo'qotgan,2,3,3,2,4,2.8,30%
iarud,yolg'iz,3,3,4,4,2,3.2,32%
jygvw,chin yetim,3,3,2,4,2,2.8,77%
aqxbz,ijtimoiy ximoyaga muhtoj oila reestr,4,2,4,2,4,3.2,79%
kigvq,yoshlar daftari,4,4,4,4,3,3.8,10%
qbfnf,ijtimoiy ximoyaga muhtoj oila reestr,4,3,4,3,3,3.4,32%
bajue,yolg'iz,2,4,2,2,4,2.8,6%
bvpyb,temir daftar,2,4,2,4,4,3.2,30%
jbpps,chin yetim,4,3,2,3,2,2.8,47%
gvlxo,yolg'iz,2,2,3,2,3,2.4,46%
hfjcs,temir daftar,4,2,2,4,4,3.2,77%
qgutz,temir daftar,2,4,3,3,2,2.8,91%
dntvo,oilali,3,3,2,4,2,2.8,52%
xhuov,boquvchisini yo'qotgan,3,2,2,3,3,2.6,79%
tnihz,oilali,2,3,3,3,3,2.8,18%
zqbyx,chin yetim,3,3,4,2,3,3.0,80%
chlaj,temir daftar,2,4,3,2,3,2.8,89%
tcfgt,yolg'iz,3,3,3,3,3,3.0,5%
wyrks,yoshlar daftari,3,4,4,3,3,3.4,48%
eskxl,temir daftar,4,4,4,3,2,3.4,72%
jhxid,yolg'iz,2,2,2,3,2,2.2,49%
euhwi,yoshlar daftari,4,4,2,4,3,3.4,80%
oopnh,oilali,2,2,3,4,3,2.8,94%
rjtfl,oilali,3,4,3,4,4,3.6,11%
bgpcm,boquvchisini yo'qotgan,3,4,3,4,2,3.2,22%
crkhf,yolg'iz,4,4,3,4,2,3.4,53%
aawhe,temir daftar,2,4,4,2,3,3.0,68%
pkedf,ijtimoiy ximoyaga muhtoj oila reestr,2,2,4,4,2,2.8,99%
nvsil,oilali,3,2,2,3,2,2.4,58%
knwpa,oilali,2,4,3,4,4,3.4,35%
mwuum,boquvchisini yo'qotgan,3,3,2,4,3,3.0,2%
bdfzw,yoshlar daftari,4,4,3,2,4,3.4,57%
eycad,boquvchisini yo'qotgan,3,2,4,3,4,3.2,87%
ytbze,temir daftar,3,3,4,4,3,3.4,54%
citfr,yolg'iz,2,4,3,3,2,2.8,56%
fslyk,chin yetim,2,2,4,3,3,2.8,16%
bolli,chin yetim,3,2,3,4,2,2.8,38%
uxbvc,yolg'iz,2,2,2,4,3,2.6,89%
lzpux,yoshlar daftari,4,3,4,2,2,3.0,67%
zauct,oilali,4,4,3,4,4,3.8,54%
bisor,yoshlar daftari,3,3,3,4,3,3.2,44%
zkywp,oilali,2,2,2,4,2,2.4,75%
vqelk,oilali,4,4,2,3,4,3.4,0%
ocatp,chin yetim,2,4,3,3,2,2.8,20%
bbchx,yoshlar daftari,4,4,4,4,2,3.6,82%
ogfit,boquvchisini yo'qotgan,3,2,4,4,3,3.2,20%
ahwwc,oilali,4,2,2,3,2,2.6,51%
dzyof,ijtimoiy ximoyaga muhtoj oila reestr,2,2,2,4,2,2.4,81%
oucyu,ijtimoiy ximoyaga muhtoj oila reestr,3,3,2,3,2,2.6,42%
untnd,boquvchisini yo'qotgan,3,3,2,2,4,2.8,51%
lqgic,ijtimoiy ximoyaga muhtoj oila reestr,2,2,4,2,2,2.4,66%
morsa,temir daftar,4,2,2,4,4,3.2,43%
fwbxn,oilali,3,2,3,3,4,3.0,31%
fnduh,boquvchisini yo'qotgan,2,2,4,3,4,3.0,9%
csntq,yoshlar daftari,2,4,2,3,2,2.6,63%
yhxnz,oilali,3,3,2,2,3,2.6,78%
fwvpy,boquvchisini yo'qotgan,4,2,3,3,4,3.2,68%
snscj,chin yetim,2,3,4,3,2,2.8,67%
sitmg,yoshlar daftari,4,3,4,2,4,3.4,27%
niwys,chin yetim,2,3,2,3,3,2.6,52%
otnxf,oilali,2,3,4,3,2,2.8,50%
udhqi,yoshlar daftari,4,4,3,3,2,3.2,52%
axtyn,ijtimoiy ximoyaga muhtoj oila reestr,4,2,3,4,2,3.0,3%
kucin,boquvchisini yo'qotgan,2,2,2,2,4,2.4,78%
iddhb,oilali,2,4,2,3,3,2.8,16%
invix,temir daftar,2,3,4,2,4,3.0,66%
wpqpl,yoshlar daftari,2,3,4,3,3,3.0,73%
cknru,yoshlar daftari,2,4,3,2,2,2.6,46%
uepte,yolg'iz,2,3,2,4,4,3.0,55%
claui,oilali,3,4,2,3,2,2.8,22%
idcqb,oilali,3,3,2,4,4,3.2,17%
xahmw,chin yetim,3,2,2,3,4,2.8,0%
ohlvl,yolg'iz,2,4,4,3,3,3.2,34%
noois,ijtimoiy ximoyaga muhtoj oila reestr,4,2,2,3,4,3.0,63%
ztvhu,chin yetim,2,2,3,4,2,2.6,57%
sftys,yolg'iz,3,2,2,2,3,2.4,94%
dwgdv,chin yetim,4,3,4,2,4,3.4,58%
lmcvl,ijtimoiy ximoyaga muhtoj oila reestr,2,2,3,2,3,2.4,0%
bxbwi,yolg'iz,4,4,2,3,2,3.0,2%
ahwff,yolg'iz,3,3,3,4,3,3.2,66%
vyrql,temir daftar,4,3,4,4,4,3.8,36%
fzhsj,chin yetim,2,3,2,3,3,2.6,82%
aymqc,chin yetim,2,4,3,4,2,3.0,28%
hncpm,yoshlar daftari,4,3,3,3,2,3.0,88%
txqmf,ijtimoiy ximoyaga muhtoj oila reestr,3,2,4,3,3,3.0,32%
qnqhk,boquvchisini yo'qotgan,3,4,3,2,4,3.2,99%
tazgu,temir daftar,4,4,4,4,2,3.6,60%
uqjkv,yolg'iz,4,3,4,4,4,3.8,92%
iixeq,yolg'iz,4,4,2,2,4,3.2,89%
iqxus,yolg'iz,2,3,4,3,3,3.0,3%
gwigm,temir daftar,4,3,3,3,4,3.4,13%
knskm,yolg'iz,4,3,4,4,3,3.6,90%
nmahl,yolg'iz,4,2,4,2,3,3.0,32%
slhhu,ijtimoiy ximoyaga muhtoj oila reestr,4,3,3,3,3,3.2,21%
mlpam,oilali,3,4,2,4,4,3.4,47%
zgzeh,oilali,4,4,2,4,3,3.4,2%
ynwmo,yoshlar daftari,4,4,2,2,3,3.0,86%
wqotr,yoshlar daftari,4,4,4,3,2,3.4,84%
rbdad,yolg'iz,3,4,2,2,3,2.8,22%
resoh,ijtimoiy ximoyaga muhtoj oila reestr,2,2,4,4,2,2.8,67%
tqalz,yolg'iz,2,3,3,2,4,2.8,20%
soigb,yoshlar daftari,2,2,4,4,3,3.0,42%
ijbsk,temir daftar,3,3,3,4,2,3.0,94%
mjnrs,temir daftar,3,3,4,4,2,3.2,84%
viygc,boquvchisini yo'qotgan,2,4,3,3,3,3.0,25%
tfubf,oilali,2,3,3,4,3,3.0,40%
cphbq,ijtimoiy ximoyaga muhtoj oila reestr,4,3,2,3,3,3.0,98%
ilcka,chin yetim,4,4,4,3,3,3.6,37%
wmoze,oilali,2,3,2,4,4,3.0,87%
uqywx,chin yetim,4,2,3,4,3,3.2,10%
yfuvk,boquvchisini yo'qotgan,3,4,2,3,4,3.2,28%
rdcmw,boquvchisini yo'qotgan,3,3,3,3,3,3.0,59%
iufzl,yolg'iz,2,2,4,2,2,2.4,66%
bcclo,yoshlar daftari,2,3,3,4,4,3.2,64%
iwhkp,boquvchisini yo'qotgan,4,3,2,2,3,2.8,60%
zyvda,boquvchisini yo'qotgan,4,4,4,3,4,3.8,18%
xgbxe,chin yetim,4,3,2,3,3,3.0,45%
gdexa,yoshlar daftari,3,3,2,4,3,3.0,48%
aotsj,boquvchisini yo'qotgan,2,4,4,4,3,3.4,21%
rckok,oilali,3,4,4,4,4,3.8,77%
qqfeh,boquvchisini yo'qotgan,4,4,2,4,3,3.4,56%
bptxl,yoshlar daftari,3,3,4,3,2,3.0,13%
fadqm,yolg'iz,4,3,2,2,3,2.8,43%
rexxc,ijtimoiy ximoyaga muhtoj oila reestr,2,3,2,4,4,3.0,15%
kmdzn,yoshlar daftari,4,4,4,3,4,3.8,96%
vkjsr,chin yetim,4,4,4,2,4,3.6,76%
fouje,ijtimoiy ximoyaga muhtoj oila reestr,4,3,2,3,4,3.2,11%
zejec,oilali,3,3,4,2,2,2.8,54%
wfdri,temir daftar,3,4,3,3,3,3.2,50%
qmotq,yoshlar daftari,4,4,2,4,3,3.4,38%
mpvde,yolg'iz,3,2,4,3,2,2.8,32%
eiqmb,chin yetim,2,3,3,4,2,2.8,32%
mvuws,oilali,3,2,4,3,4,3.2,28%
cjbms,ijtimoiy ximoyaga muhtoj oila reestr,2,4,4,2,4,3.2,68%
zqunl,oilali,2,3,2,2,3,2.4,69%
ulkgd,yoshlar daftari,2,3,3,2,4,2.8,30%
saxcm,boquvchisini yo'qotgan,4,3,4,4,2,3.4,79%
obkds,yolg'iz,3,3,2,4,3,3.0,30%
qcrhv,yoshlar daftari,4,3,3,3,3,3.2,88%
yxzse,temir daftar,4,4,4,4,2,3.6,45%
guheq,yoshlar daftari,3,3,3,2,4,3.0,96%
edvsu,ijtimoiy ximoyaga muhtoj oila reestr,3,4,4,2,2,3.0,76%
bkvmo,ijtimoiy ximoyaga muhtoj oila reestr,4,3,3,2,2,2.8,51%
lvuvk,yoshlar daftari,2,2,2,2,2,2.0,9%
geqxt,ijtimoiy ximoyaga muhtoj oila reestr,3,2,2,3,3,2.6,87%
inzlf,boquvchisini yo'qotgan,4,2,2,2,2,2.4,73%
qsszp,oilali,4,3,3,2,2,2.8,40%
lltfw,yoshlar daftari,2,4,4,3,2,3.0,94%
zdfka,yolg'iz,2,2,2,4,3,2.6,76%
xwoky,boquvchisini yo'qotgan,3,4,2,3,3,3.0,2%
srqsu,oilali,4,2,3,2,3,2.8,58%
nrsoo,yolg'iz,4,2,4,3,4,3.4,51%
dgmcp,yolg'iz,4,4,3,2,4,3.4,33%
ihtmq,yolg'iz,2,3,2,4,4,3.0,48%
qqahs,oilali,4,4,4,4,3,3.8,27%
fcemo,boquvchisini yo'qotgan,3,3,2,2,3,2.6,82%
nwprv,yolg'iz,2,2,4,4,2,2.8,86%
vkcvj,yolg'iz,2,3,2,4,2,2.6,95%
juplb,chin yetim,3,4,4,4,4,3.8,12%
ixcxy,yoshlar daftari,2,3,2,2,4,2.6,96%
ocsrh,oilali,3,4,2,2,4,3.0,97%
zqhgg,oilali,2,2,4,2,3,2.6,96%
cadye,ijtimoiy ximoyaga muhtoj oila reestr,4,3,2,2,4,3.0,68%
aoemh,oilali,2,4,4,4,4,3.6,66%
heiad,boquvchisini yo'qotgan,4,3,4,3,2,3.2,60%
cbhwi,oilali,4,2,4,3,3,3.2,59%
bnndf,chin yetim,3,2,4,2,3,2.8,70%
kchcn,yoshlar daftari,2,3,3,3,4,3.0,23%
mmbms,yoshlar daftari,4,3,2,2,4,3.0,62%
fpbhq,oilali,3,2,3,2,4,2.8,85%
wbjpf,yolg'iz,3,3,2,2,2,2.4,60%
bbzmx,temir daftar,3,4,4,2,4,3.4,22%
obgch,temir daftar,2,4,3,2,4,3.0,29%
wnxwv,yolg'iz,3,4,3,3,4,3.4,59%
gugaq,yolg'iz,4,3,3,3,2,3.0,17%
iumus,yolg'iz,3,2,3,2,3,2.6,95%
usyyv,boquvchisini yo'qotgan,3,3,4,4,3,3.4,55%
qwwjj,temir daftar,2,2,3,4,2,2.6,52%
dhvtt,yolg'iz,4,2,3,4,2,3.0,6%
rnrnt,boquvchisini yo'qotgan,3,3,3,4,4,3.4,96%
uxovd,ijtimoiy ximoyaga muhtoj oila reestr,3,4,2,3,3,3.0,68%
mwhrl,boquvchisini yo'qotgan,4,3,2,4,4,3.4,91%
wnbrx,temir daftar,3,3,3,4,3,3.2,71%
bkilq,oilali,2,3,3,4,3,3.0,78%
oyqzz,ijtimoiy ximoyaga muhtoj oila reestr,4,3,2,2,4,3.0,51%
rvfqw,temir daftar,4,3,3,2,3,3.0,3%
xrhif,boquvchisini yo'qotgan,2,4,3,4,3,3.2,33%
elyky,chin yetim,2,4,4,3,4,3.4,68%
aksib,yoshlar daftari,2,4,4,3,4,3.4,32%
lddro,temir daftar,3,3,4,2,3,3.0,68%
smsqf,yolg'iz,4,3,2,2,3,2.8,37%
pxlse,boquvchisini yo'qotgan,2,4,4,3,2,3.0,97%
qzwza,yolg'iz,4,4,4,3,3,3.6,25%
yxwjo,yolg'iz,4,4,2,2,2,2.8,0%
wuukm,yolg'iz,3,4,3,4,2,3.2,3%
eaxlk,yolg'iz,2,2,2,4,2,2.4,38%
qdoyi,yolg'iz,4,4,3,2,2,3.0,53%
utssl,ijtimoiy ximoyaga muhtoj oila reestr,3,4,2,4,3,3.2,89%
ejqev,temir daftar,4,2,4,4,2,3.2,32%
pgico,temir daftar,2,4,4,3,2,3.0,32%
prncl,yoshlar daftari,4,2,3,4,4,3.4,71%
igimr,boquvchisini yo'qotgan,4,2,3,2,4,3.0,19%
