F.I.Sh,ijtimoiy holati,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,o'rtacha bahosi
uoacz,Deduksiya metodi,74,62,34,91,66,53.833333333333336
hdpwj,klaster metodi,46,51,61,43,49,63.166666666666664
lnnbw,Taqqoslash usuli,51,59,83,62,34,51.666666666666664
eefmi,induksiya metodi,47,92,75,36,58,60.166666666666664
vonxg,induksiya metodi,86,76,38,88,72,66.5
ytbgf,Deduksiya metodi,88,35,82,93,33,42.166666666666664
qyybc,Taqqoslash usuli,30,99,60,94,98,39.833333333333336
eeahl,zakovatli zukko metodi,48,98,98,78,60,47.666666666666664
xdmwo,Analogiya metodi,89,84,67,62,35,65.66666666666667
kjcvn,Analogiya metodi,42,49,66,74,88,49.333333333333336
pjjli,induksiya metodi,81,47,54,30,70,51.166666666666664
aethk,klaster metodi,47,30,68,60,67,60.333333333333336
layvt,klaster metodi,37,63,56,70,36,52.0
ykeoe,Deduksiya metodi,61,45,31,72,60,48.5
leqqx,Taqqoslash usuli,76,62,46,83,83,53.666666666666664
lxoof,Taqqoslash usuli,80,81,36,83,40,57.333333333333336
ltrnb,Analogiya metodi,91,59,86,75,99,45.333333333333336
ietza,Analogiya metodi,95,84,87,39,33,62.833333333333336
wcfeu,klaster metodi,91,72,71,53,34,58.666666666666664
eaqsn,Fikriy hujum metodi,97,74,88,94,92,45.0
ljtur,Fikriy hujum metodi,96,78,61,79,87,49.666666666666664
xkbyr,Deduksiya metodi,81,52,59,99,59,43.0
ygxok,Fikriy hujum metodi,66,77,61,99,64,58.666666666666664
rwlft,Taqqoslash usuli,97,61,88,64,45,54.5
wmtpr,Fikriy hujum metodi,81,95,35,43,58,53.0
jwhru,zakovatli zukko metodi,55,47,33,86,82,58.5
awhfe,induksiya metodi,54,76,81,63,45,51.833333333333336
ovoba,induksiya metodi,65,57,94,82,71,59.666666666666664
wwzkj,6x6x6 metodi,48,73,59,73,56,61.666666666666664
rrqzh,Analogiya metodi,63,53,85,36,97,48.166666666666664
ohqlh,Analogiya metodi,80,37,85,87,98,48.333333333333336
yndaa,klaster metodi,37,95,53,71,83,57.166666666666664
spnup,Deduksiya metodi,45,33,88,75,42,44.833333333333336
eizbr,zakovatli zukko metodi,66,83,78,87,48,49.5
fiaiy,induksiya metodi,47,89,46,40,44,63.166666666666664
pmium,6x6x6 metodi,46,34,90,33,85,49.0
ikdbf,zakovatli zukko metodi,77,77,64,62,50,53.833333333333336
ndfsf,Deduksiya metodi,34,93,98,50,61,66.33333333333333
brmiw,Deduksiya metodi,47,87,53,34,82,57.5
smkax,zakovatli zukko metodi,84,34,98,70,36,42.333333333333336
vgyuo,klaster metodi,30,81,55,92,41,61.833333333333336
alzgo,Fikriy hujum metodi,99,48,33,34,83,50.5
usyaq,Analogiya metodi,99,86,81,47,93,57.166666666666664
qclfz,Deduksiya metodi,39,52,97,81,76,44.5
kchnn,zakovatli zukko metodi,99,55,99,72,98,56.333333333333336
jbnic,Deduksiya metodi,92,95,92,42,80,49.333333333333336
uzhpb,Analogiya metodi,34,76,65,65,79,56.0
fuzyl,klaster metodi,85,48,49,51,60,64.5
ebpeo,Analogiya metodi,91,73,97,96,78,47.666666666666664
ldokp,induksiya metodi,88,33,68,36,78,61.833333333333336
wfnrl,Analogiya metodi,44,36,76,97,74,56.166666666666664
kmuwk,Fikriy hujum metodi,48,76,82,56,34,54.333333333333336
wpouo,induksiya metodi,89,91,88,90,85,56.333333333333336
ydkso,klaster metodi,76,77,39,61,94,60.5
dumvs,zakovatli zukko metodi,53,58,36,46,54,49.166666666666664
bndpu,6x6x6 metodi,65,90,64,79,85,50.5
tnoch,Deduksiya metodi,94,70,54,63,37,54.833333333333336
pjdrb,Fikriy hujum metodi,85,59,97,50,39,60.333333333333336
qmdzy,Fikriy hujum metodi,62,33,52,98,82,48.833333333333336
kgljg,induksiya metodi,34,47,46,87,96,65.66666666666667
mgxqj,Deduksiya metodi,85,69,31,50,81,58.666666666666664
jxdtd,induksiya metodi,53,82,67,49,79,53.333333333333336
vgval,Taqqoslash usuli,68,89,68,62,58,62.5
xmjom,Taqqoslash usuli,39,96,32,60,56,55.166666666666664
wvvuv,induksiya metodi,99,56,38,35,35,69.33333333333333
izioj,Deduksiya metodi,55,72,48,45,52,45.166666666666664
xzyjh,klaster metodi,58,67,88,77,49,57.833333333333336
xpqze,Deduksiya metodi,50,57,79,62,69,56.166666666666664
drxsd,Analogiya metodi,83,39,63,65,36,57.5
gjyrs,klaster metodi,45,80,90,60,61,45.5
djawr,Fikriy hujum metodi,74,56,51,44,37,56.0
eoqcl,zakovatli zukko metodi,97,37,45,77,63,46.166666666666664
bawuq,induksiya metodi,86,34,73,66,57,55.333333333333336
vpeoc,klaster metodi,97,67,75,55,82,32.5
gkjin,Fikriy hujum metodi,92,92,67,44,38,47.166666666666664
myybc,klaster metodi,51,99,85,66,86,53.0
gurcj,Fikriy hujum metodi,89,41,36,95,70,61.333333333333336
vgiqk,Taqqoslash usuli,53,54,91,73,31,51.333333333333336
gxnsd,Taqqoslash usuli,71,62,46,92,51,43.166666666666664
zfjgm,6x6x6 metodi,30,99,83,43,82,58.166666666666664
ndhea,klaster metodi,35,93,62,73,63,43.333333333333336
dciha,klaster metodi,63,53,31,37,54,50.833333333333336
figdm,induksiya metodi,61,85,36,77,83,47.5
qbelu,6x6x6 metodi,92,31,64,51,93,60.666666666666664
hfhrc,zakovatli zukko metodi,88,78,81,50,41,54.166666666666664
vlzcv,induksiya metodi,40,83,99,43,62,39.666666666666664
fbwlb,Deduksiya metodi,55,43,77,94,75,47.0
fqcbw,zakovatli zukko metodi,84,97,41,83,93,56.0
thvlz,induksiya metodi,76,66,70,56,71,43.166666666666664
demoy,zakovatli zukko metodi,97,58,65,86,41,45.833333333333336
wpjyw,klaster metodi,74,49,74,52,91,57.5
plqpl,Deduksiya metodi,63,50,80,38,39,44.5
htcpm,zakovatli zukko metodi,81,74,81,59,93,61.166666666666664
wshve,Deduksiya metodi,31,78,74,46,57,52.333333333333336
thxla,induksiya metodi,74,46,88,43,39,63.166666666666664
yutfv,Deduksiya metodi,47,64,77,87,47,47.166666666666664
rhgau,Fikriy hujum metodi,81,59,66,69,35,65.16666666666667
plftb,Deduksiya metodi,64,55,59,53,84,51.0
ndawr,Fikriy hujum metodi,38,91,47,80,48,49.666666666666664
mbiub,Fikriy hujum metodi,98,62,67,42,78,69.0
yiakc,Fikriy hujum metodi,82,30,41,53,30,54.5
twzdr,zakovatli zukko metodi,97,36,98,68,61,57.666666666666664
wfcvk,Analogiya metodi,78,60,32,76,44,57.166666666666664
ovetj,6x6x6 metodi,80,50,70,32,30,52.166666666666664
loqjf,klaster metodi,50,50,78,94,70,57.166666666666664
rmcxj,Analogiya metodi,96,71,98,86,72,52.833333333333336
nfcpg,klaster metodi,41,93,80,89,57,60.666666666666664
tniou,klaster metodi,43,61,37,56,79,47.0
cbbcr,Deduksiya metodi,88,86,32,56,63,51.0
ntrjy,6x6x6 metodi,55,69,61,70,31,60.833333333333336
byvad,klaster metodi,36,48,62,31,96,44.5
nanpv,6x6x6 metodi,44,50,88,68,49,42.333333333333336
ntcci,6x6x6 metodi,30,38,80,67,44,50.166666666666664
fymub,induksiya metodi,70,76,55,83,99,57.166666666666664
hubdy,Deduksiya metodi,68,46,99,38,75,49.166666666666664
odmlm,zakovatli zukko metodi,35,97,45,58,70,54.166666666666664
ntrfk,Analogiya metodi,97,91,69,91,53,43.0
bwsse,6x6x6 metodi,35,69,99,87,43,42.166666666666664
sbjyb,klaster metodi,74,35,52,91,46,45.333333333333336
krxoi,6x6x6 metodi,99,57,42,58,74,59.0
wsicu,klaster metodi,49,87,83,93,81,61.333333333333336
insgp,Taqqoslash usuli,72,47,83,89,30,40.166666666666664
paddg,6x6x6 metodi,66,78,64,96,64,58.833333333333336
hqegt,6x6x6 metodi,38,66,89,85,41,55.833333333333336
tdfgr,Taqqoslash usuli,33,90,74,79,79,58.166666666666664
etcgv,Deduksiya metodi,77,52,37,58,72,52.666666666666664
ngeve,Analogiya metodi,82,35,53,43,81,47.833333333333336
wbuvf,zakovatli zukko metodi,99,33,87,66,77,59.5
oujwz,Fikriy hujum metodi,68,95,42,95,89,62.166666666666664
xgeam,Analogiya metodi,70,61,81,34,96,48.5
uzrmu,Deduksiya metodi,95,81,78,58,67,51.0
uremd,Analogiya metodi,99,37,88,84,31,61.666666666666664
qcqku,Taqqoslash usuli,55,92,46,88,45,56.833333333333336
twuzd,6x6x6 metodi,87,93,79,55,46,43.666666666666664
btprh,6x6x6 metodi,75,97,79,72,77,58.666666666666664
citfj,zakovatli zukko metodi,97,48,54,47,80,57.0
ujmqi,Fikriy hujum metodi,47,87,93,86,46,56.833333333333336
qxiia,Deduksiya metodi,88,96,44,55,77,53.5
bpajr,6x6x6 metodi,43,38,36,84,41,58.666666666666664
zhukw,Deduksiya metodi,46,37,71,66,49,57.0
bhvhq,induksiya metodi,30,38,53,63,65,41.166666666666664
oqwxm,klaster metodi,33,58,45,37,68,45.333333333333336
selaw,Fikriy hujum metodi,87,41,73,33,54,50.666666666666664
ehmhy,klaster metodi,99,96,68,53,35,42.666666666666664
wkams,Deduksiya metodi,62,77,96,31,67,44.833333333333336
xcxqe,Analogiya metodi,69,85,50,64,96,57.0
tuhzn,Analogiya metodi,89,52,94,92,52,42.166666666666664
dktos,Analogiya metodi,71,93,95,70,49,67.83333333333333
gsskz,Analogiya metodi,38,86,46,47,92,61.0
eevhj,Deduksiya metodi,55,42,46,55,35,63.5
fopqh,Taqqoslash usuli,33,36,46,79,35,46.0
hyibo,Fikriy hujum metodi,59,85,68,43,83,49.333333333333336
rcqdd,Analogiya metodi,51,86,70,39,31,57.166666666666664
niiyz,Deduksiya metodi,96,77,71,40,41,58.333333333333336
wrjud,6x6x6 metodi,43,59,89,59,67,60.833333333333336
lhbvm,6x6x6 metodi,94,76,68,78,87,62.833333333333336
upbkj,Deduksiya metodi,46,35,44,96,57,60.5
oqhrw,Analogiya metodi,73,47,61,98,73,42.333333333333336
iyhnz,induksiya metodi,99,92,87,76,46,55.0
yrvtt,Deduksiya metodi,68,88,36,92,86,49.666666666666664
ulsnq,Fikriy hujum metodi,63,82,95,77,89,53.833333333333336
xuczw,Fikriy hujum metodi,72,33,81,61,80,63.166666666666664
gqlio,induksiya metodi,39,41,68,97,39,58.333333333333336
rumuh,zakovatli zukko metodi,39,52,42,77,73,40.666666666666664
nhngw,6x6x6 metodi,93,69,35,72,61,59.666666666666664
lkvvk,6x6x6 metodi,78,48,81,81,63,54.5
yvmrb,Deduksiya metodi,88,34,95,70,63,55.166666666666664
uotro,induksiya metodi,83,49,83,95,47,40.0
swxlm,Deduksiya metodi,73,77,64,68,32,46.0
vkeax,Deduksiya metodi,48,47,34,84,42,55.333333333333336
cvswg,induksiya metodi,63,47,97,72,94,59.166666666666664
loyeo,6x6x6 metodi,70,67,67,42,51,44.666666666666664
hjzph,klaster metodi,58,38,97,46,66,59.5
aleca,Taqqoslash usuli,93,96,33,69,45,53.666666666666664
dhcjb,Analogiya metodi,40,55,94,31,74,58.333333333333336
kyjun,Analogiya metodi,72,32,63,94,93,54.0
gbipm,Analogiya metodi,36,64,51,77,61,61.333333333333336
itdvj,induksiya metodi,55,35,75,84,84,54.166666666666664
zzvlq,Deduksiya metodi,86,92,30,50,49,61.666666666666664
nnybu,klaster metodi,58,72,74,94,32,46.333333333333336
ytkps,klaster metodi,49,66,67,74,71,60.5
wfxse,Deduksiya metodi,75,89,42,60,97,53.0
zdodt,Fikriy hujum metodi,91,78,47,82,47,70.5
jxvcz,klaster metodi,80,70,96,94,35,42.333333333333336
efuvh,Deduksiya metodi,66,41,31,82,54,63.0
gujfn,6x6x6 metodi,57,74,66,46,98,53.5
dymtq,Taqqoslash usuli,85,87,33,84,78,66.83333333333333
wgdnc,Analogiya metodi,67,74,59,66,85,61.5
xepzw,klaster metodi,56,61,40,87,64,65.16666666666667
tdxxb,zakovatli zukko metodi,46,59,47,59,45,47.5
rssqn,6x6x6 metodi,83,33,44,56,33,52.333333333333336
svxml,6x6x6 metodi,64,92,95,68,57,49.666666666666664
zfuds,klaster metodi,63,62,79,89,71,59.166666666666664
pmdwq,klaster metodi,57,56,30,37,75,42.5
wartq,Taqqoslash usuli,53,69,80,53,51,56.5
okyvm,Analogiya metodi,97,37,87,44,37,63.333333333333336
aqfdt,klaster metodi,71,68,64,70,77,50.166666666666664
poofo,induksiya metodi,73,64,56,94,99,67.66666666666667
nkgiz,Taqqoslash usuli,95,92,58,60,93,60.333333333333336
peytj,6x6x6 metodi,82,97,54,42,69,42.0
rcmkq,klaster metodi,36,61,53,30,76,66.83333333333333
vmfqm,Deduksiya metodi,80,65,56,99,71,58.833333333333336
susjc,Analogiya metodi,97,99,42,54,51,53.333333333333336
nzsee,Fikriy hujum metodi,50,44,96,66,74,50.5
tquje,zakovatli zukko metodi,55,84,79,64,70,53.333333333333336
dfzdg,Taqqoslash usuli,40,37,83,30,49,52.833333333333336
grcax,6x6x6 metodi,63,86,42,83,82,55.0
ydfiv,induksiya metodi,81,35,65,54,87,42.666666666666664
nlytx,6x6x6 metodi,84,32,57,97,67,58.166666666666664
yduxl,Fikriy hujum metodi,63,42,34,89,46,52.166666666666664
jvgcw,klaster metodi,86,60,94,95,62,64.5
nxjpp,klaster metodi,33,84,53,61,76,60.333333333333336
vjymf,induksiya metodi,45,50,96,60,43,56.666666666666664
limdx,Analogiya metodi,35,98,58,84,66,57.833333333333336
ktrzk,Taqqoslash usuli,88,65,88,93,72,55.666666666666664
yudra,induksiya metodi,71,89,91,93,87,41.333333333333336
gforx,Fikriy hujum metodi,31,37,85,65,98,58.166666666666664
ktxop,6x6x6 metodi,42,68,35,48,54,64.33333333333333
gujzl,Fikriy hujum metodi,32,82,57,55,76,40.833333333333336
xnyez,Deduksiya metodi,37,86,84,30,69,62.0
urecw,induksiya metodi,52,83,71,79,33,62.5
zexqs,zakovatli zukko metodi,37,65,39,59,45,67.0
syuly,Taqqoslash usuli,59,93,40,63,84,53.0
iarud,Taqqoslash usuli,33,78,73,60,77,59.333333333333336
jygvw,6x6x6 metodi,55,99,41,74,37,62.666666666666664
aqxbz,6x6x6 metodi,38,30,34,83,53,53.5
kigvq,klaster metodi,55,39,90,69,73,37.333333333333336
qbfnf,6x6x6 metodi,41,51,56,96,98,52.333333333333336
bajue,Deduksiya metodi,43,54,81,88,67,43.5
bvpyb,zakovatli zukko metodi,49,49,85,59,70,54.833333333333336
jbpps,Fikriy hujum metodi,92,98,58,73,86,56.0
gvlxo,6x6x6 metodi,53,48,46,98,90,55.666666666666664
hfjcs,klaster metodi,33,51,35,59,40,60.666666666666664
qgutz,induksiya metodi,77,75,56,48,88,50.833333333333336
dntvo,6x6x6 metodi,97,83,46,79,69,42.5
xhuov,Fikriy hujum metodi,40,43,42,57,73,57.833333333333336
tnihz,induksiya metodi,92,90,46,79,55,53.166666666666664
zqbyx,induksiya metodi,36,45,46,64,52,56.833333333333336
chlaj,induksiya metodi,98,38,47,77,95,59.833333333333336
tcfgt,Fikriy hujum metodi,52,39,67,88,97,50.5
wyrks,6x6x6 metodi,72,41,82,43,81,54.333333333333336
eskxl,Fikriy hujum metodi,90,70,50,77,85,56.0
jhxid,Fikriy hujum metodi,64,73,68,44,41,50.833333333333336
euhwi,Analogiya metodi,37,96,30,71,60,64.5
oopnh,klaster metodi,59,72,55,41,88,51.5
rjtfl,Fikriy hujum metodi,98,40,76,52,72,37.666666666666664
bgpcm,Deduksiya metodi,68,84,47,71,55,62.166666666666664
crkhf,klaster metodi,47,70,71,62,72,52.0
aawhe,Analogiya metodi,43,84,87,39,57,50.0
pkedf,induksiya metodi,43,55,46,63,43,46.0
nvsil,6x6x6 metodi,55,63,53,99,49,37.666666666666664
knwpa,Taqqoslash usuli,68,74,63,51,62,52.666666666666664
mwuum,6x6x6 metodi,35,45,52,47,43,48.166666666666664
bdfzw,Analogiya metodi,79,90,65,44,34,53.833333333333336
eycad,klaster metodi,82,77,40,31,53,50.0
ytbze,Analogiya metodi,97,41,88,96,61,52.166666666666664
citfr,klaster metodi,65,50,99,95,38,57.333333333333336
fslyk,klaster metodi,73,88,53,92,70,52.333333333333336
bolli,induksiya metodi,31,57,45,88,30,48.166666666666664
uxbvc,Fikriy hujum metodi,30,60,51,88,57,58.333333333333336
lzpux,Fikriy hujum metodi,56,30,31,95,78,45.5
zauct,Analogiya metodi,48,57,99,68,48,59.333333333333336
bisor,Fikriy hujum metodi,93,87,46,99,70,60.0
zkywp,Analogiya metodi,34,52,98,39,97,44.166666666666664
vqelk,6x6x6 metodi,41,39,89,59,53,68.5
ocatp,Taqqoslash usuli,98,42,38,47,64,55.833333333333336
bbchx,6x6x6 metodi,33,70,55,73,71,60.0
ogfit,Taqqoslash usuli,39,30,83,45,75,42.5
ahwwc,induksiya metodi,42,93,84,92,47,74.33333333333333
dzyof,zakovatli zukko metodi,90,49,94,93,93,48.0
oucyu,Deduksiya metodi,42,97,99,86,74,63.666666666666664
untnd,Deduksiya metodi,67,83,65,96,40,32.166666666666664
lqgic,zakovatli zukko metodi,56,46,62,34,91,50.833333333333336
morsa,6x6x6 metodi,94,96,73,43,86,52.666666666666664
fwbxn,Fikriy hujum metodi,77,46,73,33,59,41.0
fnduh,Deduksiya metodi,84,59,47,73,91,49.166666666666664
csntq,Taqqoslash usuli,60,45,52,43,31,63.833333333333336
yhxnz,induksiya metodi,41,87,85,53,66,40.5
fwvpy,Taqqoslash usuli,58,71,47,32,42,61.0
snscj,klaster metodi,58,95,88,77,33,62.166666666666664
sitmg,Analogiya metodi,80,34,68,70,34,53.666666666666664
niwys,Fikriy hujum metodi,37,85,54,81,81,50.0
otnxf,Fikriy hujum metodi,36,90,76,95,88,55.0
udhqi,Deduksiya metodi,34,73,71,90,92,53.333333333333336
axtyn,zakovatli zukko metodi,79,67,83,73,53,52.0
kucin,Analogiya metodi,92,68,41,92,38,44.333333333333336
iddhb,Deduksiya metodi,51,65,57,85,58,54.833333333333336
invix,klaster metodi,34,33,80,44,89,59.5
wpqpl,Deduksiya metodi,55,52,58,86,91,51.0
cknru,Deduksiya metodi,88,77,64,75,62,60.5
uepte,Analogiya metodi,39,77,73,99,92,51.666666666666664
claui,Deduksiya metodi,78,70,68,52,42,58.833333333333336
idcqb,klaster metodi,82,99,86,96,77,52.333333333333336
xahmw,Fikriy hujum metodi,49,91,74,92,37,59.333333333333336
ohlvl,zakovatli zukko metodi,55,67,70,31,36,64.16666666666667
noois,Deduksiya metodi,54,80,79,93,41,53.166666666666664
ztvhu,Analogiya metodi,82,39,90,84,97,58.333333333333336
sftys,Analogiya metodi,71,95,73,57,87,55.333333333333336
dwgdv,zakovatli zukko metodi,31,84,63,49,76,55.666666666666664
lmcvl,zakovatli zukko metodi,55,30,94,44,43,66.16666666666667
bxbwi,Taqqoslash usuli,84,30,62,99,85,49.166666666666664
ahwff,Deduksiya metodi,52,83,32,75,35,59.666666666666664
vyrql,Analogiya metodi,54,46,57,61,52,45.833333333333336
fzhsj,6x6x6 metodi,45,55,62,87,77,41.5
aymqc,Deduksiya metodi,84,70,91,46,88,73.0
hncpm,induksiya metodi,43,50,92,75,84,43.333333333333336
txqmf,zakovatli zukko metodi,91,68,71,77,57,52.166666666666664
qnqhk,Fikriy hujum metodi,35,88,99,68,86,52.333333333333336
tazgu,Fikriy hujum metodi,83,89,46,69,95,63.333333333333336
uqjkv,6x6x6 metodi,83,73,96,86,65,48.833333333333336
iixeq,Deduksiya metodi,86,72,73,91,90,58.833333333333336
iqxus,klaster metodi,40,62,95,52,78,48.166666666666664
gwigm,Fikriy hujum metodi,49,44,95,59,33,50.0
knskm,zakovatli zukko metodi,93,94,37,81,43,59.333333333333336
nmahl,Fikriy hujum metodi,87,40,88,53,61,51.166666666666664
slhhu,klaster metodi,75,57,45,71,45,61.333333333333336
mlpam,induksiya metodi,41,91,63,67,76,43.0
zgzeh,Fikriy hujum metodi,51,32,30,82,93,61.333333333333336
ynwmo,Fikriy hujum metodi,73,76,67,92,70,59.166666666666664
wqotr,Analogiya metodi,50,74,42,95,95,53.333333333333336
rbdad,Fikriy hujum metodi,72,91,77,55,90,46.833333333333336
resoh,Deduksiya metodi,91,43,83,70,89,60.333333333333336
tqalz,Fikriy hujum metodi,38,73,85,32,88,53.666666666666664
soigb,Deduksiya metodi,42,59,82,80,71,51.166666666666664
ijbsk,Fikriy hujum metodi,55,88,98,32,70,71.33333333333333
mjnrs,Deduksiya metodi,30,94,99,79,88,44.833333333333336
viygc,Fikriy hujum metodi,92,54,39,30,43,68.5
tfubf,zakovatli zukko metodi,50,87,67,30,34,39.833333333333336
cphbq,6x6x6 metodi,73,94,86,74,89,60.5
ilcka,zakovatli zukko metodi,95,76,55,38,80,53.5
wmoze,Deduksiya metodi,37,34,68,97,69,55.666666666666664
uqywx,Fikriy hujum metodi,65,50,55,85,86,39.166666666666664
yfuvk,klaster metodi,88,36,71,42,63,51.666666666666664
rdcmw,induksiya metodi,82,75,86,90,85,52.833333333333336
iufzl,Analogiya metodi,58,43,97,42,46,56.333333333333336
bcclo,zakovatli zukko metodi,58,31,91,49,85,51.833333333333336
iwhkp,Analogiya metodi,81,54,91,46,68,59.0
zyvda,Analogiya metodi,39,88,54,57,90,51.833333333333336
xgbxe,klaster metodi,87,73,52,46,67,57.5
gdexa,Analogiya metodi,59,48,61,49,93,49.0
aotsj,zakovatli zukko metodi,65,94,72,55,36,48.166666666666664
rckok,klaster metodi,63,65,35,66,91,49.833333333333336
qqfeh,induksiya metodi,89,93,79,81,46,64.33333333333333
bptxl,6x6x6 metodi,89,83,39,54,47,51.166666666666664
fadqm,6x6x6 metodi,93,88,56,87,90,52.166666666666664
rexxc,induksiya metodi,72,40,34,87,68,62.166666666666664
kmdzn,zakovatli zukko metodi,77,49,48,89,55,50.0
vkjsr,Fikriy hujum metodi,54,44,50,76,64,53.333333333333336
fouje,induksiya metodi,73,35,52,68,47,54.833333333333336
zejec,Analogiya metodi,69,65,57,93,87,58.666666666666664
wfdri,klaster metodi,67,73,31,64,30,57.666666666666664
qmotq,zakovatli zukko metodi,75,89,92,74,86,53.5
mpvde,zakovatli zukko metodi,66,36,45,79,43,52.666666666666664
eiqmb,6x6x6 metodi,35,90,50,39,61,58.833333333333336
mvuws,Taqqoslash usuli,35,31,68,78,56,42.833333333333336
cjbms,Fikriy hujum metodi,85,43,52,80,54,63.833333333333336
zqunl,Deduksiya metodi,82,40,64,84,87,58.666666666666664
ulkgd,6x6x6 metodi,97,66,38,57,84,48.333333333333336
saxcm,Analogiya metodi,75,99,56,39,52,58.333333333333336
obkds,klaster metodi,50,74,32,88,72,48.5
qcrhv,6x6x6 metodi,36,56,91,71,33,57.0
yxzse,klaster metodi,91,37,46,34,92,47.333333333333336
guheq,Analogiya metodi,38,37,36,66,84,49.666666666666664
edvsu,Analogiya metodi,96,37,98,34,46,55.0
bkvmo,6x6x6 metodi,87,92,56,97,57,40.0
lvuvk,6x6x6 metodi,87,79,96,60,41,56.833333333333336
geqxt,6x6x6 metodi,84,33,71,83,51,56.166666666666664
inzlf,induksiya metodi,30,77,72,49,47,56.5
qsszp,6x6x6 metodi,99,78,46,82,51,58.166666666666664
lltfw,klaster metodi,39,53,41,33,71,64.66666666666667
zdfka,Deduksiya metodi,34,55,88,91,34,42.166666666666664
xwoky,Fikriy hujum metodi,55,35,53,82,36,58.833333333333336
srqsu,Analogiya metodi,39,68,57,71,91,54.5
nrsoo,zakovatli zukko metodi,81,51,86,40,43,47.833333333333336
dgmcp,6x6x6 metodi,60,33,51,93,90,44.666666666666664
ihtmq,Deduksiya metodi,35,97,35,95,65,56.166666666666664
qqahs,Taqqoslash usuli,44,69,70,36,51,35.5
fcemo,klaster metodi,40,31,59,97,82,48.333333333333336
nwprv,6x6x6 metodi,50,54,34,95,78,48.0
vkcvj,induksiya metodi,37,56,31,57,40,47.833333333333336
juplb,Analogiya metodi,75,50,71,61,61,50.333333333333336
ixcxy,Deduksiya metodi,51,50,51,63,39,51.333333333333336
ocsrh,klaster metodi,94,94,96,72,70,49.5
zqhgg,6x6x6 metodi,42,33,52,99,63,57.0
cadye,zakovatli zukko metodi,70,47,62,54,81,44.833333333333336
aoemh,Deduksiya metodi,46,80,32,84,85,59.333333333333336
heiad,Analogiya metodi,64,97,88,88,42,52.0
cbhwi,Deduksiya metodi,91,76,32,50,94,39.666666666666664
bnndf,Deduksiya metodi,47,42,74,91,59,44.666666666666664
kchcn,klaster metodi,43,82,39,60,35,56.166666666666664
mmbms,6x6x6 metodi,48,41,93,84,96,48.666666666666664
fpbhq,6x6x6 metodi,38,35,30,71,84,45.333333333333336
wbjpf,klaster metodi,78,59,64,92,51,52.166666666666664
bbzmx,zakovatli zukko metodi,72,57,47,61,98,56.5
obgch,Fikriy hujum metodi,83,63,60,33,43,66.0
wnxwv,induksiya metodi,44,89,49,49,78,55.666666666666664
gugaq,Fikriy hujum metodi,97,47,53,56,62,41.0
iumus,induksiya metodi,93,54,98,47,74,45.166666666666664
usyyv,induksiya metodi,49,64,35,38,81,45.5
qwwjj,Fikriy hujum metodi,57,48,92,36,66,41.833333333333336
dhvtt,klaster metodi,65,46,66,89,78,47.166666666666664
rnrnt,Analogiya metodi,85,63,59,56,80,41.5
uxovd,klaster metodi,38,49,76,48,97,61.666666666666664
mwhrl,Deduksiya metodi,41,34,98,54,60,52.333333333333336
wnbrx,zakovatli zukko metodi,75,63,70,97,67,45.166666666666664
bkilq,Taqqoslash usuli,75,98,56,72,74,55.0
oyqzz,Fikriy hujum metodi,47,61,31,70,49,59.666666666666664
rvfqw,Fikriy hujum metodi,87,67,30,98,83,57.333333333333336
xrhif,Analogiya metodi,43,54,38,90,81,59.666666666666664
elyky,zakovatli zukko metodi,37,45,37,52,63,46.166666666666664
aksib,Deduksiya metodi,47,73,44,44,52,54.5
lddro,6x6x6 metodi,94,61,61,62,72,48.833333333333336
smsqf,klaster metodi,42,38,91,86,77,61.166666666666664
pxlse,Fikriy hujum metodi,72,96,61,89,30,68.5
qzwza,Taqqoslash usuli,86,98,98,97,90,56.5
yxwjo,Deduksiya metodi,37,36,66,71,61,56.0
wuukm,Fikriy hujum metodi,46,57,99,77,83,55.833333333333336
eaxlk,zakovatli zukko metodi,71,65,95,60,94,51.166666666666664
qdoyi,6x6x6 metodi,32,42,60,58,86,59.0
utssl,Fikriy hujum metodi,62,82,39,92,94,67.33333333333333
ejqev,6x6x6 metodi,31,31,98,66,31,69.83333333333333
pgico,induksiya metodi,90,69,92,54,67,63.5
prncl,induksiya metodi,66,56,79,63,73,56.333333333333336
igimr,Fikriy hujum metodi,33,81,84,41,43,61.166666666666664
emdbp,zakovatli zukko metodi,64,35,76,52,97,57.833333333333336
iifkv,Analogiya metodi,94,88,38,87,77,56.666666666666664
xvadm,induksiya metodi,92,38,73,75,44,60.166666666666664
wmmbi,Fikriy hujum metodi,82,77,71,46,64,49.666666666666664
xhgdr,6x6x6 metodi,60,33,77,43,54,53.5
cfllu,Deduksiya metodi,75,77,69,79,36,44.333333333333336
hvvad,zakovatli zukko metodi,89,64,92,49,45,48.5
ukcmy,klaster metodi,51,65,48,31,97,42.0
qvvju,6x6x6 metodi,36,76,78,72,61,50.333333333333336
loujn,zakovatli zukko metodi,46,43,61,89,89,53.666666666666664
mefxb,zakovatli zukko metodi,81,95,33,92,62,56.833333333333336
vqdnj,Taqqoslash usuli,30,93,66,99,36,56.333333333333336
cycof,induksiya metodi,53,97,84,32,52,48.833333333333336
qlvtx,klaster metodi,65,86,77,42,90,66.16666666666667
kydzz,klaster metodi,53,72,62,53,51,58.0
